epoch	train.loss	train.mjpeg_acc	train.noise_acc	val.base_acc	val.cropped_acc	val.mjpeg_acc	val.noise_acc	val.psnr	val.ssim
83	0.668	0.825	0.877	0.838	0.828	0.769	0.836	42.171	0.964
84	0.658	0.829	0.879	0.84	0.827	0.77	0.837	42.277	0.964
85	0.648	0.83	0.884	0.846	0.837	0.775	0.844	42.263	0.964
86	0.638	0.833	0.888	0.849	0.839	0.782	0.845	42.353	0.964
87	0.626	0.837	0.893	0.85	0.843	0.78	0.847	42.283	0.964
88	0.614	0.841	0.896	0.851	0.842	0.777	0.849	42.37	0.963
89	0.597	0.845	0.904	0.857	0.846	0.78	0.854	42.301	0.964
90	0.586	0.848	0.907	0.859	0.85	0.788	0.856	42.375	0.964
91	0.579	0.851	0.909	0.862	0.852	0.787	0.859	42.325	0.963
92	0.567	0.852	0.912	0.862	0.852	0.789	0.861	42.228	0.962
93	0.566	0.851	0.914	0.868	0.859	0.8	0.868	42.28	0.963
94	0.552	0.855	0.919	0.878	0.867	0.797	0.876	42.357	0.962
95	0.537	0.86	0.921	0.873	0.862	0.793	0.869	42.222	0.962
96	0.529	0.86	0.926	0.879	0.866	0.802	0.876	42.265	0.963
97	0.516	0.864	0.929	0.882	0.866	0.799	0.879	42.26	0.961
98	0.513	0.865	0.931	0.889	0.875	0.807	0.886	42.231	0.962
99	0.504	0.866	0.934	0.891	0.879	0.81	0.888	42.199	0.961
100	0.492	0.868	0.938	0.887	0.877	0.806	0.884	42.16	0.961
101	0.481	0.872	0.942	0.895	0.883	0.811	0.892	42.175	0.961
102	0.467	0.875	0.944	0.901	0.89	0.82	0.898	42.159	0.96
103	0.454	0.879	0.949	0.9	0.888	0.81	0.895	42.142	0.961
104	0.454	0.879	0.948	0.903	0.889	0.813	0.899	42.144	0.96
105	0.439	0.882	0.953	0.905	0.895	0.815	0.903	42.095	0.96
106	0.429	0.885	0.956	0.907	0.896	0.819	0.902	42.125	0.959
