epoch	train.loss	train.mjpeg_acc	train.noise_acc	train.raw_acc	val.mjpeg_acc	val.noise_acc	val.psnr	val.quantized_acc	val.raw_acc	val.ssim
1	2.784	0.501	0.501	0.501	0.503	0.503	42.052	0.504	0.503	0.976
2	2.769	0.517	0.516	0.517	0.526	0.523	42.04	0.527	0.522	0.959
3	2.765	0.531	0.528	0.529	0.539	0.536	42.022	0.539	0.536	0.959
4	2.759	0.538	0.536	0.536	0.546	0.544	42.008	0.544	0.544	0.961
5	2.754	0.544	0.54	0.54	0.542	0.541	42.005	0.544	0.542	0.957
6	2.744	0.548	0.546	0.548	0.555	0.548	41.994	0.557	0.555	0.941
7	2.732	0.564	0.555	0.564	0.574	0.56	41.981	0.573	0.571	0.944
8	2.725	0.573	0.564	0.573	0.582	0.571	41.977	0.584	0.581	0.939
9	2.709	0.584	0.578	0.584	0.59	0.589	41.977	0.591	0.591	0.939
10	2.697	0.591	0.587	0.591	0.578	0.578	41.975	0.58	0.581	0.94
11	2.698	0.594	0.589	0.594	0.596	0.594	41.975	0.597	0.595	0.939
12	2.692	0.599	0.595	0.6	0.603	0.599	41.975	0.604	0.604	0.938
13	2.685	0.602	0.599	0.603	0.606	0.602	41.974	0.608	0.605	0.939
14	2.667	0.608	0.602	0.609	0.605	0.6	41.974	0.609	0.608	0.939
15	2.647	0.615	0.607	0.62	0.613	0.609	41.976	0.621	0.62	0.938
16	2.638	0.616	0.608	0.623	0.62	0.607	41.975	0.627	0.627	0.938
17	2.62	0.619	0.613	0.628	0.615	0.613	41.975	0.628	0.628	0.937
18	2.604	0.622	0.616	0.632	0.616	0.605	41.975	0.628	0.627	0.939
19	2.6	0.623	0.614	0.636	0.625	0.615	41.974	0.638	0.636	0.938
20	2.596	0.631	0.617	0.642	0.629	0.616	41.975	0.644	0.643	0.936
21	2.587	0.638	0.621	0.649	0.64	0.621	41.976	0.654	0.653	0.937
22	2.579	0.64	0.621	0.655	0.644	0.627	41.975	0.661	0.66	0.937
23	2.575	0.639	0.622	0.656	0.636	0.622	41.975	0.659	0.657	0.938
24	2.557	0.642	0.626	0.661	0.651	0.634	41.974	0.668	0.667	0.937
25	2.543	0.649	0.632	0.669	0.646	0.634	41.975	0.666	0.665	0.937
26	2.534	0.648	0.634	0.669	0.651	0.637	41.975	0.671	0.67	0.937
27	2.526	0.652	0.637	0.672	0.65	0.631	41.974	0.674	0.675	0.935
28	2.499	0.657	0.644	0.678	0.656	0.649	41.975	0.678	0.677	0.934
29	2.487	0.661	0.65	0.681	0.669	0.66	41.975	0.689	0.689	0.933
30	2.477	0.661	0.655	0.681	0.667	0.658	41.974	0.684	0.684	0.932
31	2.477	0.664	0.661	0.683	0.66	0.658	41.974	0.681	0.681	0.933
32	2.468	0.669	0.664	0.685	0.669	0.661	41.972	0.679	0.679	0.931
33	2.461	0.67	0.664	0.686	0.663	0.664	41.973	0.678	0.68	0.934
34	2.452	0.669	0.665	0.686	0.664	0.657	41.972	0.683	0.682	0.935
35	2.442	0.673	0.67	0.688	0.674	0.673	41.972	0.689	0.692	0.935
36	2.434	0.674	0.67	0.691	0.669	0.667	41.972	0.694	0.694	0.935
