epoch	train.loss	train.mjpeg_acc	train.raw_acc	val.mjpeg_acc	val.psnr	val.ssim
122	0.402	0.949	0.928	0.94	42.26	0.977
123	0.376	0.951	0.933	0.989	42.466	0.964
124	0.406	0.947	0.924	0.819	42.862	0.975
125	0.407	0.944	0.924	0.974	42.393	0.962
126	0.363	0.953	0.934	0.98	42.4	0.963
127	0.351	0.957	0.936	0.989	42.472	0.964
128	0.34	0.959	0.938	0.981	42.282	0.967
129	0.355	0.955	0.933	0.95	42.679	0.971
130	0.332	0.957	0.942	0.969	42.416	0.965
131	0.326	0.959	0.94	0.989	42.396	0.964
132	0.307	0.961	0.947	0.986	42.52	0.965
133	0.301	0.958	0.947	0.937	42.424	0.965
134	0.313	0.958	0.941	0.989	42.472	0.966
135	0.319	0.957	0.939	0.988	42.429	0.963
136	0.33	0.955	0.933	0.979	42.352	0.964
137	0.303	0.96	0.939	0.987	42.376	0.962
138	0.287	0.961	0.946	0.989	42.369	0.962
139	0.282	0.963	0.95	0.988	42.478	0.964
140	0.291	0.96	0.944	0.927	42.666	0.97
141	0.296	0.96	0.944	0.988	42.366	0.963
142	0.283	0.96	0.947	0.993	42.402	0.962
143	0.261	0.967	0.951	0.984	42.539	0.966
144	0.274	0.963	0.948	0.988	42.464	0.964
145	0.276	0.961	0.948	0.97	42.519	0.965
146	0.259	0.964	0.952	0.991	42.358	0.962
147	0.26	0.964	0.95	0.988	42.459	0.963
148	0.267	0.962	0.948	0.993	42.594	0.966
149	0.273	0.963	0.947	0.981	42.444	0.962
150	0.253	0.965	0.953	0.983	42.365	0.963
151	0.243	0.967	0.954	0.992	42.344	0.962
152	0.257	0.966	0.949	0.989	42.396	0.963
153	0.246	0.967	0.953	0.987	42.605	0.968
154	0.233	0.967	0.957	0.972	42.627	0.968
155	0.222	0.969	0.959	0.993	42.404	0.961
156	0.261	0.965	0.946	0.974	42.442	0.962
157	0.23	0.968	0.956	0.991	42.378	0.965
158	0.241	0.965	0.953	0.99	42.509	0.963
159	0.227	0.968	0.957	0.993	42.408	0.961
160	0.219	0.968	0.958	0.991	42.416	0.962
161	0.229	0.968	0.954	0.991	42.445	0.962
162	0.23	0.967	0.955	0.959	42.729	0.968
163	0.225	0.969	0.956	0.959	42.685	0.968
164	0.223	0.967	0.958	0.991	42.419	0.962
165	0.221	0.969	0.957	0.99	42.561	0.967
166	0.222	0.969	0.958	0.985	42.403	0.964
167	0.214	0.969	0.959	0.994	42.399	0.96
168	0.229	0.969	0.954	0.991	42.637	0.967
169	0.204	0.971	0.96	0.993	42.408	0.963
170	0.2	0.972	0.962	0.989	42.555	0.964
