epoch	train.loss	train.mjpeg_acc	train.noise_acc	train.raw_acc	val.mjpeg_acc	val.noise_acc	val.psnr	val.quantized_acc	val.raw_acc	val.ssim
1	2.809	0.501	0.5	0.501	0.499	0.502	42.002	0.5	0.5	0.984
2	2.783	0.501	0.502	0.501	0.506	0.505	42.118	0.507	0.506	0.984
3	2.783	0.502	0.501	0.502	0.5	0.498	42.019	0.5	0.5	0.983
4	2.783	0.5	0.502	0.501	0.502	0.502	42.016	0.503	0.502	0.983
5	2.783	0.502	0.501	0.502	0.503	0.503	42.007	0.504	0.503	0.984
6	2.783	0.503	0.502	0.501	0.496	0.495	42.022	0.495	0.494	0.984
7	2.783	0.502	0.5	0.502	0.501	0.499	42.003	0.5	0.5	0.984
8	2.783	0.504	0.502	0.503	0.505	0.504	42.004	0.505	0.505	0.984
9	2.783	0.506	0.504	0.504	0.502	0.499	42.0	0.503	0.502	0.984
10	2.789	0.503	0.502	0.504	0.504	0.504	41.982	0.504	0.504	0.983
11	2.785	0.499	0.5	0.499	0.505	0.502	41.96	0.503	0.503	0.983
12	2.784	0.501	0.501	0.5	0.506	0.503	41.959	0.506	0.506	0.982
13	2.783	0.5	0.501	0.501	0.497	0.498	41.959	0.498	0.498	0.983
14	2.783	0.501	0.5	0.501	0.511	0.51	41.959	0.51	0.511	0.983
15	2.783	0.501	0.501	0.501	0.502	0.504	41.959	0.503	0.503	0.983
16	2.783	0.5	0.501	0.501	0.502	0.503	41.959	0.503	0.503	0.983
17	2.783	0.501	0.5	0.5	0.505	0.503	41.96	0.506	0.506	0.982
18	2.783	0.501	0.501	0.501	0.502	0.499	41.959	0.5	0.501	0.983
19	2.783	0.502	0.502	0.502	0.503	0.504	41.959	0.503	0.504	0.982
20	2.783	0.502	0.502	0.501	0.503	0.505	41.959	0.505	0.504	0.983
21	2.783	0.502	0.502	0.502	0.503	0.499	41.96	0.504	0.504	0.983
22	2.783	0.501	0.501	0.501	0.501	0.503	41.96	0.502	0.503	0.983
23	2.783	0.502	0.501	0.502	0.5	0.498	41.96	0.502	0.5	0.983
24	2.783	0.502	0.502	0.502	0.509	0.509	41.96	0.509	0.509	0.982
25	2.783	0.503	0.502	0.501	0.502	0.504	41.96	0.501	0.501	0.982
26	2.783	0.501	0.502	0.502	0.502	0.503	41.96	0.503	0.502	0.983
27	2.783	0.502	0.502	0.502	0.499	0.5	41.96	0.501	0.501	0.983
28	2.783	0.501	0.501	0.502	0.504	0.5	41.959	0.502	0.502	0.983
29	2.783	0.501	0.502	0.502	0.504	0.502	41.96	0.503	0.503	0.983
30	2.783	0.501	0.501	0.501	0.499	0.502	41.96	0.498	0.497	0.983
31	2.783	0.502	0.501	0.502	0.501	0.502	41.96	0.501	0.501	0.984
32	2.783	0.502	0.502	0.503	0.502	0.504	41.96	0.5	0.501	0.983
33	2.783	0.501	0.502	0.501	0.501	0.502	41.96	0.503	0.503	0.983
34	2.783	0.502	0.503	0.502	0.509	0.506	41.96	0.507	0.508	0.983
35	2.783	0.502	0.502	0.502	0.506	0.505	41.96	0.506	0.506	0.983
36	2.783	0.501	0.502	0.502	0.499	0.502	41.96	0.498	0.498	0.982
37	2.783	0.502	0.501	0.502	0.501	0.499	41.959	0.5	0.5	0.984
38	2.783	0.502	0.502	0.502	0.509	0.505	41.96	0.508	0.508	0.983
39	2.783	0.502	0.502	0.502	0.5	0.498	41.96	0.499	0.498	0.983
40	2.783	0.502	0.502	0.502	0.502	0.5	41.96	0.502	0.501	0.982
41	2.783	0.502	0.501	0.502	0.502	0.502	41.959	0.501	0.501	0.983
42	2.783	0.502	0.502	0.502	0.504	0.502	41.96	0.505	0.505	0.983
43	2.783	0.502	0.502	0.502	0.505	0.502	41.96	0.505	0.504	0.983
44	2.783	0.502	0.502	0.502	0.496	0.497	41.96	0.497	0.497	0.983
45	2.783	0.502	0.502	0.502	0.497	0.494	41.96	0.495	0.496	0.983
46	2.783	0.501	0.501	0.502	0.499	0.496	41.96	0.498	0.498	0.983
47	2.783	0.502	0.502	0.501	0.508	0.502	41.96	0.508	0.508	0.982
48	2.783	0.502	0.503	0.503	0.501	0.496	41.959	0.5	0.501	0.983
49	2.783	0.501	0.502	0.502	0.508	0.505	41.96	0.509	0.509	0.983
50	2.783	0.502	0.5	0.5	0.499	0.5	41.96	0.5	0.5	0.983
51	2.783	0.502	0.502	0.502	0.5	0.501	41.96	0.502	0.501	0.983
52	2.783	0.502	0.501	0.501	0.5	0.502	41.96	0.5	0.5	0.983
53	2.783	0.501	0.501	0.501	0.502	0.504	41.96	0.501	0.501	0.983
54	2.783	0.502	0.502	0.501	0.495	0.497	41.96	0.495	0.495	0.983
55	2.783	0.502	0.501	0.501	0.498	0.498	41.96	0.498	0.498	0.983
56	2.783	0.502	0.501	0.502	0.505	0.506	41.96	0.505	0.506	0.982
57	2.783	0.502	0.501	0.501	0.507	0.506	41.96	0.507	0.507	0.983
58	2.783	0.502	0.502	0.502	0.499	0.499	41.959	0.499	0.5	0.983
59	2.783	0.501	0.501	0.502	0.5	0.501	41.96	0.502	0.503	0.982
60	2.783	0.501	0.501	0.502	0.506	0.503	41.96	0.507	0.506	0.983
61	2.783	0.501	0.501	0.501	0.504	0.503	41.96	0.504	0.503	0.984
62	2.783	0.501	0.502	0.501	0.499	0.498	41.96	0.498	0.498	0.983
63	2.783	0.502	0.503	0.502	0.498	0.503	41.96	0.5	0.5	0.984
64	2.783	0.502	0.502	0.502	0.503	0.504	41.96	0.503	0.503	0.983
65	2.783	0.502	0.503	0.502	0.503	0.505	41.96	0.504	0.503	0.984
66	2.783	0.501	0.501	0.501	0.502	0.507	41.96	0.503	0.502	0.983
67	2.783	0.502	0.502	0.502	0.501	0.5	41.96	0.503	0.503	0.983
68	2.783	0.502	0.503	0.502	0.503	0.501	41.96	0.503	0.503	0.983
69	2.783	0.502	0.502	0.501	0.505	0.506	41.959	0.504	0.505	0.983
70	2.783	0.501	0.501	0.501	0.501	0.502	41.96	0.501	0.501	0.983
71	2.783	0.503	0.501	0.502	0.5	0.501	41.96	0.5	0.5	0.983
72	2.783	0.501	0.501	0.502	0.505	0.503	41.96	0.505	0.505	0.983
73	2.783	0.502	0.501	0.502	0.502	0.502	41.96	0.502	0.503	0.983
74	2.783	0.502	0.501	0.502	0.501	0.501	41.96	0.502	0.502	0.983
75	2.783	0.502	0.502	0.502	0.5	0.501	41.96	0.499	0.499	0.983
76	2.783	0.502	0.501	0.502	0.503	0.504	41.959	0.503	0.503	0.983
77	2.783	0.502	0.502	0.502	0.495	0.495	41.96	0.494	0.494	0.982
78	2.783	0.503	0.502	0.502	0.503	0.503	41.96	0.502	0.502	0.982
79	2.783	0.501	0.501	0.501	0.502	0.505	41.959	0.5	0.501	0.983
80	2.783	0.502	0.5	0.501	0.494	0.499	41.96	0.495	0.495	0.983
81	2.783	0.502	0.501	0.501	0.498	0.498	41.96	0.498	0.499	0.983
82	2.782	0.503	0.502	0.502	0.499	0.501	41.96	0.5	0.5	0.982
83	2.783	0.502	0.502	0.502	0.502	0.498	41.96	0.501	0.501	0.983
84	2.783	0.503	0.502	0.502	0.5	0.5	41.96	0.5	0.499	0.982
85	2.783	0.502	0.501	0.502	0.5	0.502	41.96	0.499	0.499	0.983
86	2.783	0.503	0.502	0.502	0.506	0.505	41.96	0.507	0.506	0.982
87	2.783	0.501	0.502	0.502	0.499	0.498	41.96	0.498	0.498	0.982
88	2.783	0.502	0.502	0.502	0.501	0.501	41.96	0.5	0.5	0.983
89	2.783	0.502	0.502	0.502	0.505	0.501	41.96	0.507	0.505	0.983
