epoch	train.loss	train.mjpeg_acc	train.noise_acc	val.base_acc	val.cropped_acc	val.mjpeg_acc	val.noise_acc	val.psnr	val.ssim
1	1.384	0.509	0.51	0.515	0.511	0.513	0.514	43.028	0.988
2	1.373	0.531	0.529	0.521	0.524	0.521	0.526	42.176	0.986
3	1.37	0.526	0.526	0.517	0.514	0.517	0.518	41.664	0.986
4	1.366	0.523	0.521	0.516	0.512	0.517	0.516	41.406	0.985
5	1.361	0.522	0.522	0.513	0.509	0.512	0.512	41.015	0.984
6	1.358	0.524	0.522	0.514	0.517	0.517	0.515	40.842	0.984
7	1.356	0.521	0.519	0.516	0.517	0.517	0.517	40.9	0.984
8	1.351	0.525	0.525	0.521	0.518	0.519	0.521	40.896	0.986
9	1.35	0.526	0.527	0.524	0.524	0.522	0.523	40.926	0.984
10	1.348	0.53	0.528	0.518	0.518	0.519	0.519	40.882	0.985
11	1.347	0.532	0.532	0.527	0.527	0.53	0.529	40.855	0.984
12	1.346	0.531	0.531	0.533	0.529	0.529	0.532	40.904	0.985
13	1.345	0.536	0.534	0.526	0.527	0.525	0.527	40.837	0.984
14	1.344	0.536	0.534	0.531	0.525	0.53	0.528	40.884	0.985
15	1.344	0.534	0.532	0.527	0.528	0.522	0.527	40.886	0.984
16	1.342	0.537	0.534	0.535	0.53	0.535	0.534	40.814	0.984
17	1.34	0.541	0.54	0.533	0.531	0.529	0.531	40.849	0.984
18	1.339	0.539	0.538	0.536	0.53	0.53	0.534	40.813	0.984
19	1.337	0.538	0.536	0.53	0.526	0.533	0.53	40.835	0.984
20	1.336	0.534	0.534	0.532	0.53	0.529	0.531	40.809	0.984
21	1.334	0.533	0.534	0.526	0.521	0.529	0.53	40.784	0.983
22	1.328	0.537	0.536	0.53	0.521	0.528	0.528	40.819	0.982
23	1.322	0.536	0.534	0.524	0.517	0.519	0.523	40.825	0.982
24	1.32	0.534	0.534	0.525	0.526	0.523	0.527	40.788	0.982
25	1.317	0.533	0.534	0.523	0.518	0.523	0.526	40.787	0.982
26	1.314	0.537	0.537	0.528	0.521	0.531	0.53	40.79	0.982
27	1.312	0.54	0.539	0.53	0.525	0.529	0.531	40.797	0.982
28	1.312	0.538	0.537	0.529	0.518	0.527	0.528	40.741	0.982
29	1.31	0.54	0.538	0.525	0.516	0.528	0.528	40.767	0.983
30	1.31	0.54	0.54	0.535	0.523	0.532	0.533	40.714	0.982
31	1.308	0.538	0.539	0.528	0.525	0.53	0.535	40.719	0.982
32	1.306	0.546	0.544	0.528	0.524	0.529	0.531	40.714	0.982
33	1.307	0.546	0.543	0.534	0.529	0.537	0.534	40.719	0.982
34	1.305	0.545	0.545	0.534	0.527	0.535	0.538	40.694	0.982
35	1.304	0.546	0.545	0.542	0.531	0.539	0.541	40.694	0.983
36	1.303	0.547	0.546	0.532	0.516	0.529	0.531	40.707	0.983
37	1.304	0.544	0.543	0.534	0.525	0.53	0.531	40.698	0.983
38	1.301	0.544	0.543	0.532	0.523	0.533	0.532	40.68	0.982
39	1.298	0.551	0.549	0.533	0.521	0.53	0.53	40.711	0.982
