epoch	train.loss	train.mjpeg_acc	train.raw_acc	val.mjpeg_acc	val.psnr	val.ssim
122	0.273	0.897	0.983	0.861	42.892	0.939
123	0.276	0.897	0.983	0.873	42.896	0.939
124	0.27	0.899	0.984	0.865	42.892	0.938
125	0.27	0.899	0.984	0.865	42.872	0.938
126	0.271	0.897	0.985	0.855	42.912	0.938
127	0.271	0.897	0.986	0.867	42.897	0.938
128	0.275	0.898	0.985	0.863	42.949	0.94
129	0.284	0.893	0.985	0.848	42.899	0.94
130	0.287	0.893	0.985	0.881	42.868	0.939
131	0.313	0.887	0.978	0.876	42.787	0.941
132	0.276	0.9	0.985	0.884	42.812	0.939
133	0.263	0.904	0.99	0.866	42.879	0.939
134	0.271	0.9	0.992	0.852	42.874	0.94
135	0.263	0.902	0.995	0.847	42.89	0.939
136	0.265	0.899	0.996	0.832	42.912	0.939
137	0.265	0.898	0.996	0.852	42.899	0.939
138	0.265	0.897	0.997	0.857	42.881	0.938
139	0.258	0.9	0.997	0.861	42.901	0.938
140	0.255	0.901	0.997	0.847	42.914	0.938
141	0.257	0.901	0.997	0.856	42.905	0.938
142	0.251	0.903	0.997	0.858	42.894	0.938
143	0.25	0.902	0.998	0.854	42.918	0.938
144	0.254	0.901	0.997	0.864	42.944	0.939
145	0.261	0.898	0.998	0.857	42.929	0.939
146	0.251	0.902	0.998	0.85	42.909	0.938
147	0.252	0.901	0.998	0.862	42.895	0.938
148	0.249	0.901	0.998	0.864	42.907	0.937
149	0.256	0.9	0.997	0.86	42.89	0.937
150	0.254	0.901	0.997	0.848	42.918	0.937
151	0.255	0.897	0.998	0.856	42.928	0.938
152	0.253	0.9	0.997	0.862	42.911	0.937
153	0.25	0.901	0.998	0.845	42.905	0.937
154	0.25	0.902	0.998	0.829	42.865	0.937
155	0.254	0.899	0.998	0.848	42.874	0.937
156	0.249	0.9	0.998	0.864	42.923	0.938
157	0.249	0.9	0.998	0.866	42.873	0.936
158	0.244	0.903	0.998	0.872	42.901	0.937
159	0.267	0.895	0.995	0.851	42.907	0.94
160	0.257	0.9	0.996	0.857	42.874	0.937
161	0.25	0.9	0.997	0.86	42.849	0.936
162	0.246	0.902	0.998	0.841	42.833	0.936
163	0.243	0.903	0.998	0.862	42.863	0.936
164	0.24	0.904	0.998	0.855	42.865	0.936
165	0.249	0.899	0.998	0.849	42.843	0.936
166	0.251	0.9	0.997	0.845	42.845	0.936
167	0.242	0.903	0.999	0.86	42.835	0.936
168	0.244	0.903	0.998	0.856	42.85	0.936
169	0.244	0.902	0.998	0.85	42.842	0.935
170	0.248	0.899	0.998	0.851	42.845	0.936
171	0.243	0.903	0.998	0.86	42.837	0.936
172	0.241	0.902	0.998	0.869	42.824	0.935
173	0.244	0.901	0.998	0.861	42.813	0.936
174	0.283	0.892	0.991	0.852	42.855	0.941
175	0.269	0.897	0.993	0.855	42.824	0.939
176	0.237	0.907	0.997	0.879	42.821	0.938
177	0.228	0.912	0.998	0.895	42.831	0.938
178	0.228	0.912	0.998	0.885	42.806	0.937
179	0.225	0.913	0.998	0.891	42.818	0.937
180	0.228	0.911	0.997	0.885	42.81	0.936
181	0.228	0.91	0.998	0.881	42.809	0.936
182	0.222	0.913	0.998	0.898	42.799	0.936
183	0.227	0.913	0.998	0.891	42.827	0.936
184	0.221	0.914	0.998	0.894	42.825	0.938
185	0.224	0.913	0.998	0.891	42.822	0.936
186	0.227	0.912	0.998	0.885	42.822	0.936
187	0.223	0.913	0.998	0.889	42.831	0.936
188	0.225	0.911	0.998	0.89	42.82	0.936
