epoch	train.loss	train.mjpeg_acc	train.raw_acc	val.mjpeg_acc	val.psnr	val.ssim
122	0.671	0.823	0.879	0.801	42.328	0.943
123	0.668	0.824	0.878	0.797	42.349	0.942
124	0.664	0.824	0.88	0.825	42.323	0.944
125	0.661	0.826	0.881	0.805	42.343	0.941
126	0.65	0.828	0.883	0.808	42.331	0.942
127	0.653	0.828	0.883	0.8	42.328	0.94
128	0.658	0.824	0.882	0.8	42.324	0.942
129	0.652	0.826	0.882	0.818	42.332	0.941
130	0.638	0.832	0.887	0.816	42.333	0.942
131	0.644	0.83	0.886	0.813	42.338	0.94
132	0.641	0.832	0.887	0.819	42.335	0.94
133	0.635	0.832	0.889	0.797	42.336	0.939
134	0.645	0.828	0.886	0.809	42.315	0.942
135	0.636	0.832	0.889	0.81	42.318	0.943
136	0.627	0.834	0.892	0.806	42.33	0.94
137	0.635	0.833	0.891	0.805	42.326	0.939
138	0.631	0.833	0.892	0.813	42.308	0.943
139	0.627	0.835	0.894	0.818	42.329	0.939
140	0.62	0.838	0.898	0.78	42.334	0.938
141	0.626	0.835	0.897	0.804	42.331	0.939
142	0.62	0.838	0.898	0.791	42.329	0.94
143	0.612	0.841	0.901	0.821	42.324	0.94
144	0.607	0.841	0.903	0.815	42.339	0.938
145	0.61	0.839	0.903	0.792	42.331	0.937
146	0.606	0.84	0.906	0.816	42.324	0.94
147	0.597	0.844	0.908	0.803	42.314	0.941
148	0.6	0.841	0.909	0.809	42.32	0.939
149	0.604	0.839	0.908	0.783	42.318	0.939
150	0.598	0.844	0.908	0.805	42.324	0.939
151	0.594	0.844	0.912	0.804	42.319	0.937
152	0.584	0.847	0.915	0.81	42.325	0.941
153	0.581	0.848	0.917	0.798	42.317	0.94
154	0.588	0.846	0.915	0.822	42.313	0.938
155	0.576	0.85	0.918	0.823	42.315	0.939
156	0.58	0.846	0.918	0.804	42.314	0.938
157	0.578	0.846	0.919	0.814	42.312	0.941
158	0.578	0.845	0.919	0.805	42.31	0.94
159	0.571	0.849	0.92	0.79	42.328	0.938
160	0.568	0.85	0.922	0.829	42.326	0.938
161	0.558	0.853	0.925	0.831	42.314	0.938
162	0.555	0.853	0.923	0.819	42.316	0.94
163	0.548	0.855	0.926	0.846	42.322	0.939
164	0.557	0.85	0.925	0.803	42.326	0.937
165	0.549	0.853	0.927	0.818	42.305	0.944
166	0.545	0.855	0.928	0.81	42.317	0.938
167	0.552	0.851	0.926	0.795	42.309	0.939
168	0.538	0.855	0.93	0.804	42.32	0.937
169	0.543	0.853	0.93	0.808	42.313	0.937
170	0.541	0.854	0.93	0.829	42.314	0.938
171	0.539	0.853	0.931	0.822	42.306	0.94
172	0.539	0.854	0.93	0.825	42.315	0.938
173	0.524	0.858	0.934	0.818	42.306	0.941
174	0.533	0.854	0.932	0.823	42.316	0.937
175	0.522	0.86	0.936	0.824	42.29	0.943
176	0.525	0.857	0.934	0.827	42.308	0.937
177	0.529	0.854	0.934	0.825	42.298	0.94
178	0.509	0.863	0.938	0.787	42.309	0.936
179	0.522	0.857	0.937	0.792	42.292	0.94
180	0.513	0.859	0.938	0.842	42.302	0.935
181	0.516	0.858	0.938	0.818	42.304	0.938
182	0.506	0.864	0.94	0.827	42.319	0.933
183	0.5	0.865	0.941	0.846	42.306	0.936
184	0.499	0.863	0.942	0.828	42.301	0.941
185	0.51	0.86	0.941	0.813	42.302	0.939
186	0.499	0.862	0.943	0.809	42.309	0.936
187	0.494	0.865	0.943	0.829	42.293	0.94
188	0.494	0.863	0.945	0.849	42.299	0.938
189	0.496	0.863	0.944	0.845	42.322	0.936
190	0.493	0.863	0.946	0.839	42.296	0.939
191	0.486	0.865	0.948	0.838	42.306	0.936
192	0.483	0.869	0.947	0.825	42.313	0.932
193	0.482	0.867	0.948	0.843	42.302	0.935
194	0.487	0.864	0.947	0.836	42.3	0.935
195	0.478	0.868	0.948	0.83	42.309	0.936
196	0.477	0.868	0.949	0.817	42.305	0.937
197	0.476	0.868	0.949	0.769	42.309	0.935
198	0.478	0.867	0.95	0.845	42.312	0.935
199	0.46	0.874	0.954	0.853	42.313	0.933
200	0.463	0.871	0.954	0.839	42.316	0.936
