epoch	train.adv_loss	train.loss	train.mjpeg_acc	train.raw_acc	val.crop_acc	val.mjpeg_acc	val.psnr	val.scale_acc	val.ssim
1	-0.086	1.38	0.538	0.536	0.532	0.531	42.632	0.525	0.989
2	0.015	1.376	0.547	0.545	0.523	0.525	42.602	0.521	0.989
3	0.002	1.368	0.55	0.545	0.54	0.542	42.246	0.538	0.989
4	0.002	1.36	0.557	0.551	0.549	0.551	42.541	0.549	0.989
5	0.0	1.359	0.554	0.548	0.54	0.542	42.119	0.536	0.988
6	-0.001	1.351	0.559	0.552	0.555	0.56	42.088	0.554	0.986
7	-0.0	1.35	0.559	0.552	0.555	0.558	42.232	0.554	0.987
8	-0.0	1.349	0.557	0.552	0.55	0.558	42.045	0.552	0.987
9	-0.0	1.356	0.554	0.547	0.531	0.533	42.095	0.53	0.987
10	-0.0	1.353	0.559	0.55	0.571	0.579	42.296	0.574	0.987
11	-0.0	1.343	0.561	0.554	0.53	0.533	42.172	0.529	0.987
12	-0.003	1.338	0.563	0.556	0.563	0.569	42.059	0.563	0.985
13	-0.006	1.328	0.57	0.561	0.551	0.557	42.042	0.55	0.987
14	-0.002	1.328	0.572	0.561	0.566	0.581	42.039	0.573	0.986
15	-0.003	1.32	0.576	0.567	0.58	0.587	42.123	0.579	0.986
16	-0.011	1.326	0.573	0.565	0.582	0.589	42.054	0.582	0.985
17	-0.016	1.328	0.572	0.563	0.571	0.582	42.23	0.574	0.986
18	-0.052	1.318	0.58	0.57	0.562	0.576	42.093	0.566	0.986
19	-0.044	1.305	0.583	0.573	0.57	0.586	42.01	0.577	0.985
20	-0.085	1.298	0.58	0.57	0.585	0.594	42.144	0.585	0.983
21	-0.007	1.282	0.592	0.579	0.593	0.605	42.082	0.595	0.981
22	-0.003	1.255	0.601	0.588	0.605	0.618	42.058	0.607	0.98
23	-0.007	1.227	0.613	0.599	0.619	0.632	42.075	0.619	0.976
24	-0.012	1.198	0.636	0.62	0.645	0.658	42.103	0.644	0.973
25	-0.031	1.147	0.659	0.64	0.66	0.67	42.082	0.659	0.979
26	-0.081	1.107	0.67	0.653	0.706	0.717	42.071	0.703	0.972
27	-0.081	1.104	0.677	0.659	0.71	0.722	42.098	0.709	0.973
28	-0.062	1.068	0.704	0.68	0.722	0.732	42.081	0.717	0.972
29	-0.015	1.01	0.727	0.701	0.736	0.751	42.013	0.729	0.976
30	-0.044	0.958	0.748	0.726	0.729	0.744	42.056	0.71	0.966
31	-0.006	0.916	0.762	0.737	0.805	0.822	42.032	0.805	0.967
32	-0.002	0.839	0.791	0.768	0.818	0.833	42.07	0.813	0.965
33	-0.001	0.794	0.806	0.78	0.835	0.848	42.063	0.834	0.964
34	0.0	0.758	0.817	0.788	0.841	0.851	42.036	0.834	0.968
35	-0.0	0.704	0.828	0.809	0.85	0.861	42.034	0.846	0.966
36	-0.0	0.687	0.835	0.812	0.859	0.87	42.039	0.852	0.964
37	-0.0	0.682	0.846	0.817	0.876	0.888	42.046	0.866	0.966
38	-0.0	0.632	0.857	0.831	0.881	0.893	42.067	0.874	0.964
39	-0.0	0.605	0.867	0.842	0.906	0.916	42.04	0.899	0.963
40	-0.0	0.556	0.879	0.856	0.912	0.923	42.036	0.903	0.962
41	-0.001	0.555	0.88	0.856	0.915	0.924	42.059	0.909	0.965
42	-0.0	0.532	0.888	0.859	0.905	0.916	42.054	0.897	0.964
43	-0.0	0.484	0.899	0.877	0.914	0.925	42.075	0.896	0.961
44	-0.001	0.524	0.896	0.869	0.924	0.931	42.072	0.911	0.965
45	-0.002	0.477	0.905	0.879	0.935	0.943	42.1	0.927	0.964
46	-0.005	0.446	0.916	0.891	0.956	0.964	42.07	0.951	0.96
47	-0.006	0.399	0.93	0.906	0.947	0.957	42.054	0.936	0.96
48	-0.002	0.388	0.935	0.909	0.954	0.963	42.068	0.944	0.963
49	-0.005	0.364	0.942	0.915	0.95	0.96	42.078	0.939	0.96
50	-0.0	0.333	0.944	0.926	0.932	0.944	42.085	0.899	0.964
