epoch	train.adv_loss	train.loss	train.mjpeg_acc	train.raw_acc	val.crop_acc	val.mjpeg_acc	val.psnr	val.scale_acc	val.ssim
81	-0.014	0.223	0.966	0.952	0.97	0.976	42.069	0.938	0.958
82	-0.001	0.209	0.969	0.955	0.986	0.992	42.041	0.976	0.955
83	-0.002	0.214	0.968	0.953	0.989	0.993	42.059	0.981	0.954
84	-0.006	0.212	0.967	0.954	0.943	0.956	42.03	0.924	0.964
85	-0.022	0.284	0.951	0.936	0.986	0.99	42.058	0.973	0.956
86	-0.012	0.215	0.967	0.953	0.988	0.992	42.064	0.972	0.955
87	-0.01	0.197	0.974	0.956	0.992	0.994	42.062	0.981	0.956
88	-0.012	0.193	0.971	0.961	0.991	0.994	42.051	0.979	0.952
89	-0.008	0.189	0.972	0.96	0.983	0.99	42.056	0.969	0.957
90	-0.016	0.194	0.97	0.96	0.992	0.994	42.046	0.98	0.956
91	-0.008	0.174	0.974	0.964	0.978	0.984	42.053	0.947	0.95
92	-0.013	0.188	0.971	0.961	0.992	0.995	42.05	0.98	0.951
93	-0.011	0.197	0.97	0.955	0.99	0.993	42.045	0.976	0.957
94	0.001	0.178	0.973	0.961	0.992	0.995	42.049	0.982	0.951
95	-0.003	0.179	0.975	0.96	0.989	0.993	42.039	0.978	0.952
96	-0.006	0.191	0.972	0.957	0.99	0.994	42.057	0.978	0.952
97	-0.012	0.211	0.967	0.953	0.988	0.991	42.055	0.966	0.952
98	-0.0	0.175	0.973	0.965	0.992	0.994	42.042	0.981	0.951
99	-0.006	0.18	0.972	0.961	0.987	0.99	42.053	0.971	0.956
100	-0.016	0.175	0.974	0.964	0.996	0.997	42.047	0.985	0.951
101	-0.008	0.167	0.975	0.964	0.988	0.993	42.048	0.972	0.953
102	-0.004	0.199	0.969	0.958	0.975	0.982	42.058	0.953	0.958
103	-0.003	0.173	0.974	0.964	0.991	0.994	42.057	0.981	0.949
104	-0.018	0.173	0.972	0.964	0.994	0.997	42.041	0.984	0.952
105	-0.01	0.162	0.978	0.964	0.996	0.997	42.045	0.988	0.951
106	-0.019	0.189	0.972	0.957	0.974	0.979	42.047	0.949	0.963
107	-0.025	0.162	0.975	0.967	0.987	0.99	42.041	0.971	0.953
108	-0.008	0.171	0.971	0.965	0.993	0.995	42.054	0.983	0.954
109	-0.021	0.154	0.978	0.966	0.992	0.993	42.047	0.972	0.953
110	-0.018	0.144	0.977	0.969	0.995	0.997	42.046	0.986	0.951
111	-0.024	0.194	0.968	0.958	0.99	0.994	42.055	0.981	0.953
112	-0.019	0.195	0.973	0.957	0.991	0.994	42.05	0.975	0.952
113	-0.019	0.137	0.979	0.971	0.994	0.996	42.043	0.982	0.951
114	-0.007	0.134	0.979	0.972	0.996	0.998	42.051	0.989	0.95
115	-0.004	0.173	0.973	0.962	0.991	0.993	42.062	0.973	0.951
116	-0.016	0.143	0.977	0.97	0.994	0.996	42.05	0.982	0.953
