epoch	train.loss	train.mjpeg_acc	train.raw_acc	val.mjpeg_acc	val.psnr	val.ssim
1	1.384	0.522	0.52	0.536	42.347	0.989
2	1.382	0.538	0.533	0.547	42.172	0.989
3	1.38	0.544	0.539	0.548	42.175	0.988
4	1.379	0.548	0.543	0.547	42.191	0.988
5	1.376	0.551	0.546	0.561	42.196	0.987
6	1.368	0.565	0.56	0.573	42.191	0.988
7	1.363	0.566	0.561	0.571	42.371	0.988
8	1.358	0.568	0.564	0.57	42.234	0.988
9	1.354	0.574	0.568	0.57	42.29	0.988
10	1.354	0.572	0.567	0.578	42.255	0.988
11	1.353	0.574	0.569	0.579	42.322	0.988
12	1.349	0.575	0.57	0.58	42.246	0.988
13	1.348	0.576	0.57	0.577	42.317	0.988
14	1.348	0.576	0.569	0.577	42.241	0.988
15	1.349	0.577	0.571	0.576	42.298	0.988
16	1.347	0.577	0.571	0.585	42.311	0.988
17	1.344	0.577	0.572	0.581	42.226	0.988
18	1.345	0.578	0.572	0.574	42.218	0.987
19	1.342	0.578	0.572	0.587	42.303	0.987
20	1.342	0.581	0.574	0.589	42.321	0.987
21	1.343	0.58	0.573	0.586	42.321	0.987
22	1.339	0.582	0.576	0.584	42.281	0.987
23	1.34	0.582	0.576	0.585	42.293	0.987
24	1.338	0.581	0.575	0.58	42.262	0.987
25	1.337	0.585	0.578	0.583	42.274	0.987
26	1.338	0.579	0.573	0.591	42.311	0.987
27	1.334	0.582	0.576	0.576	42.341	0.988
28	1.337	0.584	0.578	0.586	42.299	0.987
29	1.335	0.581	0.576	0.589	42.198	0.986
30	1.331	0.584	0.577	0.59	42.301	0.987
31	1.332	0.582	0.576	0.585	42.286	0.987
32	1.333	0.583	0.576	0.586	42.287	0.986
33	1.333	0.584	0.578	0.589	42.29	0.987
34	1.328	0.584	0.578	0.594	42.335	0.986
35	1.331	0.586	0.579	0.589	42.307	0.986
36	1.329	0.588	0.582	0.59	42.318	0.986
37	1.325	0.59	0.582	0.587	42.32	0.986
38	1.329	0.585	0.579	0.588	42.277	0.986
39	1.324	0.587	0.58	0.591	42.298	0.986
40	1.324	0.586	0.58	0.598	42.346	0.986
41	1.324	0.588	0.582	0.596	42.286	0.986
42	1.32	0.59	0.584	0.598	42.233	0.986
43	1.322	0.587	0.581	0.591	42.276	0.986
44	1.32	0.592	0.584	0.595	42.336	0.986
45	1.323	0.588	0.581	0.593	42.323	0.986
46	1.32	0.589	0.584	0.594	42.3	0.986
47	1.319	0.588	0.582	0.6	42.323	0.986
48	1.32	0.591	0.585	0.601	42.317	0.986
49	1.317	0.591	0.584	0.591	42.323	0.986
50	1.314	0.592	0.587	0.598	42.273	0.986
51	1.317	0.593	0.586	0.598	42.291	0.986
52	1.319	0.588	0.581	0.595	42.259	0.985
53	1.316	0.591	0.585	0.601	42.277	0.986
54	1.318	0.59	0.583	0.602	42.308	0.985
55	1.312	0.594	0.586	0.592	42.24	0.985
56	1.313	0.593	0.586	0.597	42.278	0.985
