epoch	train.adv_loss	train.loss	train.mjpeg_acc	train.raw_acc	val.crop_acc	val.mjpeg_acc	val.psnr	val.scale_acc	val.ssim
1	-0.779	1.37	0.5	0.5	0.495	0.495	44.035	0.496	0.986
2	-0.713	1.452	0.522	0.521	0.508	0.508	43.265	0.507	0.988
3	-0.687	1.459	0.542	0.538	0.551	0.551	43.069	0.548	0.989
4	-0.711	1.452	0.538	0.537	0.542	0.543	44.145	0.543	0.987
5	-0.698	1.457	0.545	0.541	0.519	0.518	42.639	0.516	0.99
6	-0.7	1.456	0.55	0.546	0.552	0.553	42.838	0.549	0.989
7	-0.702	1.456	0.549	0.545	0.554	0.556	42.584	0.552	0.989
8	-0.706	1.45	0.553	0.548	0.544	0.548	42.178	0.544	0.988
9	-0.724	1.44	0.561	0.554	0.543	0.546	42.46	0.541	0.988
10	-0.746	1.432	0.563	0.556	0.536	0.541	42.304	0.54	0.988
11	-0.761	1.426	0.567	0.559	0.561	0.568	42.385	0.563	0.988
12	-0.771	1.426	0.566	0.558	0.563	0.567	42.294	0.563	0.987
13	-0.779	1.419	0.569	0.563	0.575	0.583	42.332	0.576	0.987
14	-0.786	1.417	0.57	0.563	0.554	0.555	42.274	0.55	0.987
15	-0.787	1.416	0.571	0.562	0.572	0.578	42.138	0.57	0.986
16	-0.79	1.415	0.571	0.563	0.576	0.58	42.274	0.576	0.987
17	-0.795	1.414	0.573	0.564	0.573	0.579	42.243	0.573	0.987
18	-0.798	1.413	0.572	0.564	0.573	0.577	42.272	0.572	0.987
19	-0.8	1.414	0.571	0.563	0.571	0.579	42.217	0.571	0.987
20	-0.802	1.413	0.57	0.561	0.574	0.582	42.279	0.575	0.987
21	-0.805	1.411	0.574	0.564	0.582	0.588	42.307	0.581	0.986
22	-0.815	1.413	0.574	0.565	0.57	0.572	42.172	0.566	0.986
23	-0.808	1.41	0.576	0.566	0.574	0.581	42.198	0.573	0.986
24	-0.817	1.41	0.577	0.566	0.576	0.585	42.187	0.579	0.986
25	-0.816	1.41	0.577	0.567	0.579	0.588	42.135	0.581	0.986
26	-0.816	1.411	0.576	0.569	0.583	0.591	42.219	0.584	0.987
27	-0.823	1.41	0.577	0.567	0.579	0.585	42.208	0.579	0.986
28	-0.824	1.411	0.576	0.567	0.584	0.593	42.199	0.585	0.986
29	-0.834	1.411	0.576	0.567	0.588	0.596	42.181	0.589	0.986
30	-0.827	1.411	0.578	0.568	0.576	0.582	42.139	0.577	0.986
31	-0.816	1.412	0.577	0.566	0.584	0.593	42.193	0.586	0.986
32	-0.838	1.411	0.577	0.567	0.559	0.561	42.129	0.556	0.987
33	-0.833	1.412	0.576	0.565	0.58	0.586	42.176	0.581	0.986
34	-0.83	1.412	0.58	0.569	0.551	0.556	42.104	0.55	0.986
35	-0.828	1.412	0.578	0.568	0.571	0.578	42.114	0.57	0.986
36	-0.833	1.411	0.579	0.569	0.58	0.587	42.077	0.579	0.986
37	-0.831	1.413	0.576	0.566	0.581	0.587	42.203	0.578	0.986
38	-0.832	1.412	0.576	0.565	0.575	0.581	42.185	0.575	0.986
39	-0.837	1.412	0.578	0.568	0.564	0.569	42.105	0.565	0.986
40	-0.838	1.41	0.579	0.568	0.575	0.585	42.109	0.578	0.986
