epoch	train.adv_loss	train.loss	train.mjpeg_acc	train.raw_acc	val.crop_acc	val.mjpeg_acc	val.psnr	val.scale_acc	val.ssim
41	-0.841	1.411	0.577	0.568	0.572	0.58	42.123	0.574	0.986
42	-0.838	1.411	0.58	0.568	0.565	0.569	42.121	0.563	0.986
43	-0.834	1.412	0.574	0.565	0.587	0.595	42.17	0.588	0.986
44	-0.837	1.413	0.575	0.566	0.582	0.591	42.113	0.585	0.986
45	-0.84	1.411	0.579	0.569	0.571	0.579	42.088	0.572	0.985
46	-0.84	1.413	0.577	0.568	0.564	0.572	42.092	0.564	0.985
47	-0.841	1.411	0.579	0.568	0.548	0.551	42.099	0.547	0.986
48	-0.842	1.412	0.578	0.567	0.583	0.592	42.1	0.584	0.986
49	-0.837	1.412	0.576	0.565	0.567	0.572	42.088	0.566	0.985
50	-0.841	1.413	0.576	0.567	0.588	0.596	42.173	0.59	0.986
51	-0.843	1.412	0.579	0.569	0.575	0.585	42.155	0.578	0.986
52	-0.847	1.409	0.578	0.569	0.575	0.582	42.085	0.574	0.986
53	-0.827	1.411	0.575	0.567	0.571	0.578	42.102	0.572	0.985
54	-0.837	1.414	0.575	0.565	0.554	0.558	42.109	0.555	0.986
55	-0.83	1.412	0.577	0.567	0.581	0.591	42.133	0.583	0.986
56	-0.84	1.411	0.578	0.567	0.573	0.582	42.121	0.574	0.986
57	-0.833	1.411	0.578	0.568	0.58	0.591	42.092	0.585	0.986
58	-0.835	1.413	0.577	0.566	0.567	0.572	42.111	0.564	0.986
59	-0.839	1.412	0.576	0.567	0.575	0.584	42.102	0.575	0.986
60	-0.84	1.413	0.58	0.569	0.586	0.593	42.11	0.588	0.986
61	-0.842	1.409	0.578	0.57	0.588	0.597	42.137	0.588	0.986
62	-0.845	1.413	0.577	0.565	0.584	0.594	42.132	0.588	0.986
63	-0.842	1.412	0.579	0.568	0.586	0.595	42.172	0.588	0.986
64	-0.844	1.413	0.578	0.568	0.573	0.582	42.063	0.575	0.986
65	-0.843	1.412	0.58	0.569	0.58	0.588	42.113	0.581	0.986
66	-0.842	1.412	0.579	0.569	0.579	0.586	42.128	0.579	0.986
67	-0.848	1.412	0.579	0.57	0.563	0.567	42.098	0.562	0.986
68	-0.844	1.412	0.577	0.567	0.574	0.583	42.083	0.575	0.986
69	-0.843	1.411	0.58	0.57	0.575	0.586	42.092	0.577	0.986
70	-0.839	1.413	0.578	0.568	0.575	0.582	42.113	0.577	0.985
71	-0.853	1.413	0.577	0.568	0.58	0.587	42.115	0.578	0.986
72	-0.85	1.413	0.58	0.569	0.586	0.593	42.168	0.587	0.986
73	-0.846	1.411	0.576	0.568	0.587	0.597	42.176	0.591	0.986
74	-0.844	1.411	0.58	0.57	0.587	0.594	42.205	0.586	0.986
75	-0.859	1.414	0.578	0.568	0.542	0.545	42.159	0.539	0.987
76	-0.847	1.411	0.579	0.57	0.58	0.586	42.148	0.579	0.986
77	-0.852	1.412	0.577	0.567	0.577	0.585	42.107	0.579	0.986
78	-0.853	1.414	0.577	0.566	0.571	0.579	42.113	0.572	0.986
79	-0.844	1.414	0.578	0.569	0.587	0.596	42.128	0.588	0.986
80	-0.853	1.414	0.579	0.569	0.561	0.565	42.085	0.559	0.986
81	-0.849	1.413	0.576	0.567	0.589	0.597	42.175	0.59	0.986
82	-0.856	1.413	0.577	0.568	0.583	0.592	42.111	0.582	0.986
83	-0.824	1.41	0.577	0.566	0.577	0.584	42.129	0.577	0.986
84	-0.82	1.411	0.576	0.567	0.567	0.572	42.14	0.566	0.986
85	-0.824	1.409	0.579	0.569	0.569	0.576	42.099	0.57	0.987
86	-0.824	1.41	0.576	0.565	0.57	0.577	42.124	0.57	0.986
87	-0.824	1.411	0.578	0.568	0.569	0.574	42.08	0.567	0.985
88	-0.824	1.41	0.577	0.568	0.58	0.587	42.121	0.58	0.986
89	-0.822	1.409	0.578	0.568	0.568	0.573	42.106	0.567	0.986
90	-0.825	1.41	0.577	0.566	0.569	0.578	42.077	0.572	0.986
91	-0.825	1.409	0.579	0.569	0.584	0.593	42.12	0.586	0.986
92	-0.822	1.409	0.58	0.57	0.576	0.583	42.075	0.574	0.986
93	-0.828	1.41	0.578	0.568	0.586	0.595	42.19	0.587	0.986
94	-0.827	1.412	0.575	0.565	0.573	0.58	42.093	0.573	0.985
95	-0.837	1.414	0.575	0.564	0.574	0.582	42.108	0.574	0.986
96	-0.844	1.412	0.577	0.567	0.588	0.596	42.179	0.589	0.986
97	-0.837	1.414	0.574	0.565	0.572	0.58	42.092	0.574	0.986
98	-0.844	1.413	0.577	0.568	0.581	0.588	42.108	0.583	0.986
99	-0.843	1.412	0.579	0.569	0.585	0.593	42.163	0.587	0.985
100	-0.85	1.413	0.576	0.566	0.567	0.571	42.096	0.567	0.986
101	-0.851	1.412	0.578	0.569	0.576	0.583	42.127	0.578	0.985
102	-0.852	1.413	0.576	0.567	0.584	0.591	42.14	0.585	0.985
103	-0.857	1.411	0.58	0.571	0.576	0.584	42.153	0.577	0.986
104	-0.852	1.415	0.577	0.568	0.578	0.588	42.182	0.581	0.986
105	-0.859	1.414	0.576	0.566	0.585	0.593	42.194	0.587	0.986
106	-0.859	1.414	0.578	0.568	0.59	0.6	42.173	0.593	0.986
107	-0.863	1.413	0.579	0.569	0.581	0.589	42.135	0.583	0.986
108	-0.853	1.411	0.578	0.568	0.572	0.583	42.086	0.576	0.986
109	-0.863	1.414	0.577	0.568	0.575	0.583	42.119	0.577	0.986
110	-0.847	1.414	0.577	0.568	0.587	0.593	42.17	0.588	0.986
111	-0.849	1.413	0.577	0.567	0.555	0.558	42.02	0.551	0.985
112	-0.847	1.413	0.578	0.569	0.574	0.583	42.112	0.576	0.986
113	-0.852	1.413	0.577	0.567	0.584	0.592	42.156	0.586	0.986
114	-0.856	1.415	0.579	0.569	0.571	0.578	42.1	0.57	0.986
115	-0.847	1.415	0.576	0.567	0.587	0.595	42.161	0.587	0.986
116	-0.852	1.413	0.579	0.569	0.578	0.586	42.141	0.58	0.986
117	-0.853	1.415	0.576	0.566	0.579	0.586	42.104	0.581	0.985
118	-0.852	1.414	0.58	0.571	0.586	0.596	42.132	0.589	0.986
119	-0.855	1.416	0.576	0.566	0.576	0.586	42.117	0.578	0.986
120	-0.847	1.412	0.578	0.569	0.581	0.591	42.138	0.585	0.986
121	-0.851	1.415	0.579	0.566	0.575	0.582	42.12	0.573	0.986
122	-0.855	1.413	0.578	0.57	0.584	0.591	42.19	0.585	0.986
123	-0.859	1.411	0.58	0.571	0.574	0.585	42.08	0.577	0.986
124	-0.871	1.415	0.577	0.567	0.578	0.585	42.151	0.579	0.986
125	-0.857	1.415	0.576	0.566	0.558	0.562	42.055	0.555	0.986
126	-0.856	1.412	0.577	0.566	0.552	0.555	42.116	0.549	0.986
127	-0.853	1.416	0.578	0.567	0.584	0.593	42.202	0.587	0.986
128	-0.867	1.415	0.577	0.566	0.55	0.556	42.073	0.551	0.985
129	-0.862	1.415	0.578	0.567	0.568	0.573	42.087	0.564	0.986
130	-0.863	1.416	0.575	0.565	0.585	0.592	42.144	0.585	0.986
131	-0.863	1.416	0.576	0.567	0.574	0.582	42.176	0.576	0.986
132	-0.856	1.416	0.577	0.566	0.57	0.576	42.105	0.569	0.985
133	-0.863	1.413	0.579	0.569	0.584	0.592	42.18	0.584	0.986
134	-0.861	1.416	0.574	0.564	0.572	0.579	42.095	0.573	0.986
135	-0.854	1.414	0.58	0.571	0.569	0.575	42.116	0.57	0.986
136	-0.867	1.412	0.579	0.569	0.576	0.584	42.182	0.577	0.985
137	-0.854	1.414	0.578	0.569	0.567	0.574	42.124	0.568	0.986
138	-0.864	1.416	0.577	0.567	0.58	0.588	42.11	0.581	0.986
139	-0.855	1.414	0.578	0.567	0.573	0.582	42.133	0.576	0.986
140	-0.853	1.414	0.577	0.567	0.571	0.58	42.138	0.575	0.986
141	-0.852	1.413	0.578	0.568	0.551	0.553	42.11	0.548	0.986
142	-0.865	1.414	0.577	0.567	0.58	0.589	42.086	0.58	0.986
143	-0.863	1.414	0.577	0.567	0.579	0.589	42.152	0.582	0.985
144	-0.857	1.413	0.579	0.57	0.571	0.579	42.096	0.573	0.986
145	-0.866	1.413	0.58	0.57	0.583	0.59	42.176	0.585	0.986
146	-0.858	1.413	0.579	0.57	0.559	0.566	42.105	0.56	0.985
147	-0.861	1.415	0.577	0.566	0.584	0.593	42.115	0.587	0.986
148	-0.867	1.414	0.578	0.568	0.583	0.591	42.121	0.586	0.986
149	-0.864	1.415	0.577	0.568	0.56	0.564	42.141	0.56	0.986
150	-0.861	1.413	0.578	0.568	0.571	0.577	42.099	0.571	0.986
151	-0.86	1.416	0.576	0.566	0.584	0.595	42.174	0.588	0.986
152	-0.868	1.415	0.579	0.567	0.582	0.589	42.155	0.584	0.986
153	-0.866	1.414	0.58	0.572	0.566	0.57	42.059	0.562	0.985
154	-0.862	1.414	0.579	0.569	0.583	0.592	42.158	0.586	0.986
155	-0.868	1.415	0.574	0.564	0.586	0.594	42.197	0.586	0.986
156	-0.865	1.414	0.578	0.568	0.567	0.576	42.101	0.57	0.986
157	-0.859	1.411	0.578	0.569	0.582	0.59	42.112	0.581	0.986
158	-0.856	1.413	0.578	0.571	0.574	0.583	42.089	0.576	0.986
159	-0.863	1.413	0.578	0.568	0.579	0.587	42.13	0.58	0.986
160	-0.86	1.416	0.574	0.564	0.576	0.584	42.109	0.576	0.986
161	-0.864	1.414	0.577	0.567	0.584	0.593	42.119	0.586	0.986
162	-0.869	1.415	0.579	0.569	0.574	0.581	42.113	0.575	0.986
163	-0.862	1.415	0.577	0.567	0.547	0.55	42.084	0.545	0.986
164	-0.857	1.413	0.579	0.57	0.579	0.587	42.195	0.58	0.986
165	-0.868	1.412	0.58	0.57	0.581	0.588	42.15	0.581	0.986
166	-0.858	1.413	0.577	0.567	0.58	0.59	42.134	0.583	0.986
167	-0.862	1.415	0.578	0.567	0.578	0.587	42.109	0.579	0.986
168	-0.867	1.415	0.575	0.567	0.578	0.583	42.149	0.575	0.986
169	-0.863	1.414	0.576	0.566	0.578	0.585	42.128	0.578	0.986
170	-0.862	1.414	0.577	0.567	0.577	0.585	42.141	0.578	0.986
171	-0.867	1.416	0.576	0.566	0.587	0.595	42.181	0.588	0.986
172	-0.863	1.416	0.575	0.566	0.558	0.565	42.134	0.559	0.986
173	-0.864	1.416	0.577	0.565	0.584	0.594	42.124	0.586	0.986
174	-0.866	1.414	0.576	0.566	0.566	0.571	42.109	0.565	0.986
175	-0.859	1.412	0.578	0.567	0.58	0.586	42.12	0.58	0.986
176	-0.864	1.414	0.577	0.568	0.587	0.595	42.17	0.588	0.986
177	-0.861	1.415	0.576	0.567	0.582	0.591	42.173	0.583	0.986
178	-0.853	1.411	0.576	0.567	0.57	0.576	42.084	0.568	0.986
179	-0.832	1.412	0.577	0.567	0.583	0.593	42.178	0.586	0.986
180	-0.848	1.414	0.577	0.566	0.591	0.601	42.16	0.592	0.986
181	-0.858	1.414	0.577	0.567	0.584	0.593	42.141	0.584	0.986
182	-0.86	1.415	0.577	0.567	0.58	0.589	42.144	0.582	0.986
183	-0.861	1.415	0.579	0.57	0.571	0.578	42.074	0.573	0.986
184	-0.863	1.416	0.576	0.566	0.57	0.577	42.065	0.569	0.986
185	-0.856	1.412	0.576	0.567	0.587	0.593	42.182	0.588	0.986
186	-0.858	1.415	0.576	0.566	0.59	0.599	42.184	0.592	0.986
187	-0.862	1.415	0.575	0.566	0.587	0.596	42.137	0.589	0.986
188	-0.867	1.413	0.575	0.566	0.571	0.58	42.069	0.573	0.986
189	-0.86	1.414	0.576	0.568	0.587	0.596	42.174	0.589	0.986
190	-0.857	1.416	0.577	0.568	0.572	0.579	42.104	0.572	0.986
191	-0.86	1.413	0.579	0.57	0.585	0.593	42.081	0.586	0.986
192	-0.865	1.414	0.577	0.567	0.557	0.561	42.076	0.553	0.986
193	-0.824	1.413	0.578	0.568	0.584	0.592	42.183	0.584	0.986
194	-0.833	1.412	0.576	0.565	0.577	0.583	42.116	0.576	0.985
195	-0.833	1.411	0.577	0.568	0.571	0.578	42.128	0.572	0.986
196	-0.829	1.413	0.573	0.565	0.577	0.582	42.149	0.576	0.986
197	-0.833	1.411	0.577	0.567	0.59	0.598	42.176	0.59	0.986
198	-0.834	1.412	0.577	0.567	0.547	0.554	42.073	0.548	0.985
199	-0.833	1.413	0.58	0.569	0.577	0.588	42.103	0.581	0.986
200	-0.83	1.413	0.576	0.566	0.576	0.585	42.09	0.577	0.985
201	-0.835	1.41	0.58	0.57	0.587	0.594	42.151	0.587	0.986
202	-0.832	1.413	0.578	0.568	0.58	0.588	42.126	0.579	0.986
203	-0.835	1.412	0.576	0.566	0.586	0.595	42.147	0.587	0.986
204	-0.842	1.412	0.577	0.567	0.582	0.592	42.155	0.584	0.986
205	-0.842	1.411	0.579	0.57	0.548	0.549	42.079	0.546	0.987
206	-0.844	1.413	0.576	0.566	0.573	0.582	42.119	0.575	0.986
207	-0.855	1.412	0.577	0.568	0.587	0.595	42.153	0.588	0.986
208	-0.85	1.412	0.577	0.568	0.574	0.583	42.137	0.577	0.986
209	-0.845	1.41	0.581	0.57	0.577	0.588	42.126	0.58	0.986
210	-0.846	1.414	0.577	0.566	0.569	0.576	42.107	0.568	0.986
211	-0.844	1.411	0.576	0.566	0.582	0.591	42.133	0.584	0.986
212	-0.819	1.412	0.578	0.568	0.587	0.596	42.162	0.587	0.986
213	-0.824	1.413	0.576	0.565	0.557	0.56	42.125	0.555	0.986
214	-0.825	1.411	0.579	0.569	0.583	0.592	42.184	0.586	0.986
215	-0.829	1.413	0.579	0.568	0.561	0.57	42.093	0.565	0.986
216	-0.864	1.418	0.575	0.565	0.587	0.597	42.188	0.589	0.986
217	-0.878	1.416	0.579	0.569	0.576	0.581	42.145	0.573	0.986
218	-0.871	1.418	0.577	0.567	0.576	0.584	42.127	0.578	0.986
219	-0.883	1.417	0.577	0.568	0.57	0.576	42.106	0.569	0.986
220	-0.875	1.418	0.578	0.568	0.588	0.598	42.168	0.59	0.986
221	-0.886	1.418	0.577	0.567	0.58	0.591	42.144	0.582	0.986
222	-0.88	1.416	0.578	0.568	0.579	0.588	42.108	0.58	0.986
223	-0.873	1.415	0.578	0.569	0.577	0.585	42.08	0.577	0.985
224	-0.871	1.418	0.577	0.567	0.581	0.59	42.154	0.584	0.986
225	-0.881	1.418	0.575	0.564	0.579	0.589	42.121	0.583	0.986
226	-0.872	1.417	0.578	0.568	0.582	0.591	42.126	0.583	0.986
227	-0.879	1.419	0.577	0.568	0.571	0.577	42.082	0.571	0.986
228	-0.874	1.417	0.58	0.569	0.573	0.581	42.09	0.574	0.986
229	-0.884	1.419	0.576	0.567	0.581	0.589	42.097	0.582	0.986
230	-0.836	1.411	0.577	0.566	0.566	0.571	42.12	0.566	0.986
231	-0.822	1.41	0.578	0.57	0.581	0.59	42.102	0.582	0.986
232	-0.828	1.41	0.577	0.568	0.578	0.587	42.081	0.578	0.985
233	-0.834	1.413	0.578	0.569	0.574	0.583	42.08	0.575	0.986
234	-0.827	1.413	0.576	0.566	0.576	0.585	42.107	0.577	0.986
235	-0.824	1.411	0.577	0.568	0.574	0.58	42.213	0.575	0.986
236	-0.834	1.41	0.578	0.568	0.582	0.591	42.143	0.583	0.986
237	-0.839	1.41	0.576	0.567	0.577	0.587	42.141	0.579	0.986
238	-0.845	1.413	0.577	0.567	0.571	0.58	42.085	0.574	0.986
239	-0.839	1.411	0.578	0.569	0.58	0.589	42.124	0.583	0.986
240	-0.864	1.414	0.575	0.565	0.575	0.583	42.126	0.576	0.986
241	-0.857	1.414	0.576	0.566	0.574	0.578	42.12	0.57	0.986
242	-0.862	1.411	0.581	0.57	0.573	0.578	42.18	0.571	0.986
243	-0.856	1.414	0.578	0.566	0.584	0.593	42.135	0.583	0.986
244	-0.833	1.411	0.577	0.568	0.58	0.587	42.069	0.58	0.986
245	-0.833	1.411	0.575	0.566	0.582	0.593	42.116	0.586	0.986
246	-0.827	1.411	0.577	0.567	0.564	0.57	42.111	0.563	0.985
247	-0.823	1.409	0.577	0.568	0.576	0.585	42.104	0.578	0.986
248	-0.826	1.41	0.577	0.567	0.575	0.583	42.123	0.577	0.986
249	-0.824	1.411	0.577	0.568	0.592	0.599	42.187	0.594	0.986
250	-0.831	1.417	0.575	0.565	0.571	0.579	42.102	0.572	0.986
251	-0.861	1.416	0.579	0.569	0.582	0.59	42.12	0.583	0.986
252	-0.881	1.418	0.573	0.565	0.578	0.586	42.079	0.578	0.985
253	-0.881	1.415	0.578	0.569	0.58	0.585	42.159	0.579	0.986
254	-0.88	1.416	0.577	0.567	0.578	0.585	42.097	0.577	0.986
255	-0.881	1.418	0.575	0.565	0.575	0.583	42.113	0.576	0.986
256	-0.867	1.411	0.576	0.566	0.586	0.593	42.176	0.587	0.986
257	-0.831	1.413	0.579	0.568	0.579	0.585	42.118	0.578	0.986
258	-0.84	1.413	0.577	0.565	0.564	0.57	42.102	0.565	0.986
259	-0.865	1.417	0.577	0.567	0.589	0.598	42.183	0.59	0.986
260	-0.88	1.415	0.577	0.568	0.589	0.596	42.176	0.589	0.986
261	-0.886	1.416	0.578	0.568	0.576	0.586	42.107	0.579	0.986
262	-0.874	1.417	0.578	0.568	0.583	0.589	42.162	0.582	0.986
263	-0.883	1.417	0.58	0.568	0.585	0.59	42.128	0.584	0.985
264	-0.883	1.419	0.578	0.569	0.581	0.588	42.142	0.577	0.986
265	-0.868	1.416	0.578	0.569	0.564	0.567	42.109	0.562	0.986
266	-0.88	1.417	0.581	0.57	0.561	0.567	42.105	0.561	0.985
267	-0.88	1.417	0.576	0.566	0.576	0.584	42.122	0.575	0.986
268	-0.874	1.419	0.579	0.569	0.571	0.576	42.08	0.57	0.986
269	-0.886	1.415	0.575	0.565	0.591	0.599	42.153	0.591	0.986
270	-0.882	1.418	0.577	0.567	0.576	0.582	42.101	0.576	0.987
271	-0.885	1.42	0.576	0.566	0.58	0.589	42.099	0.581	0.986
272	-0.883	1.415	0.578	0.568	0.577	0.587	42.104	0.581	0.986
273	-0.885	1.414	0.578	0.566	0.576	0.584	42.068	0.577	0.986
274	-0.874	1.418	0.577	0.567	0.582	0.593	42.135	0.583	0.986
275	-0.885	1.417	0.576	0.566	0.569	0.575	42.105	0.57	0.986
276	-0.875	1.415	0.58	0.569	0.584	0.591	42.087	0.582	0.986
277	-0.893	1.418	0.577	0.568	0.551	0.554	42.09	0.549	0.985
278	-0.878	1.416	0.578	0.57	0.582	0.592	42.121	0.584	0.986
279	-0.884	1.419	0.575	0.565	0.576	0.582	42.089	0.577	0.985
280	-0.886	1.418	0.578	0.568	0.575	0.583	42.096	0.577	0.986
281	-0.879	1.418	0.577	0.568	0.556	0.558	42.033	0.551	0.986
282	-0.875	1.417	0.577	0.568	0.576	0.584	42.153	0.579	0.986
283	-0.888	1.417	0.576	0.566	0.572	0.58	42.08	0.574	0.986
284	-0.891	1.417	0.576	0.567	0.571	0.58	42.12	0.573	0.986
285	-0.888	1.418	0.579	0.568	0.581	0.589	42.131	0.583	0.986
286	-0.888	1.417	0.578	0.567	0.574	0.582	42.123	0.576	0.986
287	-0.894	1.416	0.578	0.568	0.574	0.584	42.076	0.577	0.986
288	-0.893	1.417	0.581	0.571	0.566	0.571	42.103	0.564	0.986
289	-0.874	1.415	0.579	0.569	0.585	0.594	42.181	0.588	0.986
290	-0.88	1.419	0.579	0.569	0.575	0.583	42.135	0.576	0.986
291	-0.898	1.415	0.578	0.569	0.578	0.588	42.104	0.581	0.986
292	-0.881	1.418	0.575	0.565	0.585	0.593	42.103	0.587	0.986
293	-0.882	1.42	0.576	0.566	0.569	0.576	42.093	0.57	0.986
294	-0.883	1.419	0.576	0.564	0.569	0.575	42.135	0.569	0.986
295	-0.885	1.418	0.579	0.569	0.56	0.565	42.112	0.559	0.986
296	-0.888	1.42	0.574	0.565	0.574	0.584	42.111	0.577	0.986
297	-0.884	1.419	0.576	0.565	0.589	0.597	42.181	0.591	0.986
298	-0.885	1.418	0.578	0.568	0.578	0.587	42.124	0.58	0.986
299	-0.879	1.416	0.578	0.569	0.581	0.591	42.143	0.583	0.986
300	-0.889	1.418	0.576	0.566	0.588	0.595	42.196	0.589	0.986
