epoch	train.loss	train.mjpeg_acc	train.noise_acc	train.raw_acc	val.mjpeg_acc	val.noise_acc	val.psnr	val.quantized_acc	val.raw_acc	val.ssim
1	2.088	0.503	0.502	0.502	0.505	0.503	42.106	0.505	0.504	0.95
2	2.078	0.511	0.509	0.51	0.504	0.502	42.06	0.503	0.501	0.968
3	2.066	0.531	0.529	0.529	0.548	0.547	41.997	0.547	0.547	0.962
4	2.044	0.556	0.554	0.554	0.561	0.559	41.995	0.562	0.558	0.961
5	2.033	0.561	0.559	0.56	0.559	0.561	41.989	0.561	0.56	0.961
6	2.028	0.559	0.558	0.558	0.562	0.558	41.991	0.561	0.559	0.961
7	2.011	0.564	0.562	0.562	0.564	0.563	41.985	0.565	0.563	0.962
8	1.996	0.572	0.569	0.569	0.574	0.572	41.984	0.575	0.573	0.964
9	1.986	0.578	0.577	0.577	0.574	0.572	41.983	0.574	0.572	0.961
10	1.975	0.586	0.584	0.584	0.588	0.586	41.984	0.589	0.585	0.958
11	1.96	0.594	0.591	0.592	0.587	0.582	41.984	0.588	0.583	0.959
12	1.946	0.602	0.599	0.599	0.609	0.607	41.982	0.609	0.606	0.959
13	1.929	0.61	0.607	0.607	0.61	0.607	41.984	0.613	0.607	0.961
14	1.916	0.614	0.612	0.612	0.623	0.622	41.982	0.625	0.621	0.961
15	1.898	0.624	0.621	0.622	0.63	0.628	41.983	0.631	0.627	0.957
16	1.875	0.633	0.63	0.631	0.638	0.636	41.982	0.64	0.636	0.96
17	1.86	0.638	0.635	0.635	0.648	0.644	41.983	0.646	0.643	0.959
18	1.846	0.642	0.64	0.64	0.642	0.64	41.982	0.643	0.64	0.958
19	1.827	0.647	0.645	0.645	0.65	0.647	41.984	0.653	0.648	0.958
20	1.818	0.648	0.644	0.645	0.642	0.642	41.982	0.645	0.642	0.959
21	1.804	0.649	0.648	0.648	0.646	0.644	41.984	0.649	0.646	0.961
22	1.792	0.651	0.648	0.649	0.663	0.661	41.985	0.664	0.661	0.96
23	1.772	0.657	0.654	0.655	0.664	0.661	41.984	0.668	0.662	0.956
24	1.757	0.66	0.658	0.658	0.662	0.658	41.985	0.665	0.661	0.955
25	1.735	0.67	0.668	0.668	0.678	0.674	41.984	0.679	0.674	0.96
26	1.706	0.676	0.674	0.675	0.677	0.673	41.987	0.679	0.674	0.957
27	1.688	0.68	0.679	0.68	0.682	0.681	41.986	0.686	0.682	0.957
28	1.674	0.685	0.681	0.682	0.685	0.681	41.987	0.689	0.684	0.954
29	1.658	0.689	0.685	0.687	0.695	0.689	41.988	0.697	0.693	0.956
30	1.639	0.693	0.69	0.692	0.696	0.691	41.988	0.698	0.695	0.954
31	1.613	0.701	0.695	0.7	0.704	0.699	41.989	0.709	0.704	0.952
32	1.597	0.705	0.697	0.703	0.707	0.694	41.988	0.708	0.705	0.953
33	1.586	0.709	0.697	0.708	0.72	0.706	41.99	0.722	0.717	0.955
34	1.553	0.72	0.706	0.719	0.716	0.706	41.991	0.721	0.717	0.952
35	1.532	0.724	0.709	0.724	0.73	0.713	41.99	0.735	0.73	0.952
36	1.511	0.732	0.715	0.731	0.726	0.708	41.992	0.732	0.726	0.953
37	1.508	0.733	0.715	0.732	0.743	0.726	41.99	0.749	0.744	0.952
38	1.467	0.743	0.726	0.744	0.748	0.728	41.991	0.752	0.748	0.95
39	1.446	0.747	0.728	0.748	0.753	0.731	41.99	0.756	0.753	0.952
40	1.422	0.753	0.735	0.754	0.754	0.734	41.992	0.76	0.755	0.95
41	1.403	0.756	0.736	0.758	0.76	0.741	41.992	0.764	0.76	0.95
42	1.39	0.758	0.74	0.76	0.76	0.742	41.993	0.765	0.761	0.95
43	1.367	0.762	0.743	0.764	0.765	0.742	41.993	0.77	0.764	0.949
44	1.36	0.764	0.745	0.766	0.771	0.749	41.994	0.774	0.769	0.947
45	1.322	0.774	0.755	0.776	0.771	0.753	41.996	0.779	0.774	0.949
46	1.312	0.777	0.756	0.779	0.782	0.761	41.996	0.79	0.785	0.949
47	1.29	0.781	0.76	0.785	0.784	0.76	41.997	0.791	0.788	0.947
48	1.27	0.785	0.762	0.789	0.787	0.767	41.996	0.794	0.79	0.948
49	1.241	0.79	0.77	0.794	0.788	0.77	41.997	0.797	0.793	0.947
50	1.231	0.794	0.771	0.798	0.796	0.77	41.996	0.802	0.797	0.947
51	1.21	0.797	0.777	0.801	0.797	0.773	41.996	0.807	0.802	0.945
52	1.19	0.803	0.782	0.807	0.809	0.791	41.996	0.819	0.816	0.944
53	1.162	0.808	0.789	0.813	0.811	0.793	41.997	0.82	0.817	0.947
54	1.146	0.813	0.793	0.817	0.813	0.792	41.997	0.82	0.818	0.944
55	1.126	0.816	0.796	0.82	0.818	0.799	41.997	0.828	0.825	0.944
56	1.108	0.82	0.8	0.825	0.818	0.798	41.997	0.827	0.824	0.943
57	1.083	0.827	0.804	0.833	0.829	0.807	41.998	0.841	0.836	0.942
58	1.054	0.834	0.811	0.841	0.831	0.807	41.998	0.843	0.838	0.945
59	1.037	0.838	0.814	0.846	0.836	0.81	41.998	0.845	0.842	0.942
60	1.022	0.842	0.817	0.85	0.845	0.82	41.998	0.859	0.855	0.943
61	0.985	0.849	0.825	0.858	0.85	0.822	41.999	0.865	0.861	0.943
62	0.969	0.852	0.828	0.862	0.857	0.834	42.0	0.868	0.865	0.94
63	0.941	0.857	0.833	0.867	0.855	0.823	42.0	0.872	0.866	0.943
64	0.931	0.858	0.834	0.871	0.855	0.83	42.001	0.872	0.868	0.94
65	0.916	0.861	0.838	0.874	0.872	0.847	42.0	0.887	0.884	0.941
66	0.889	0.866	0.842	0.879	0.852	0.826	42.0	0.87	0.865	0.939
67	0.895	0.867	0.841	0.88	0.873	0.853	42.0	0.89	0.887	0.94
68	0.852	0.873	0.849	0.887	0.873	0.856	42.001	0.892	0.888	0.94
69	0.848	0.873	0.852	0.887	0.875	0.855	42.0	0.895	0.891	0.938
70	0.82	0.878	0.856	0.894	0.879	0.853	42.001	0.9	0.895	0.939
71	0.803	0.881	0.861	0.897	0.885	0.865	42.0	0.905	0.902	0.939
72	0.78	0.886	0.865	0.902	0.887	0.863	42.002	0.906	0.902	0.94
73	0.761	0.889	0.87	0.907	0.896	0.877	42.001	0.918	0.916	0.939
74	0.747	0.893	0.873	0.91	0.897	0.877	42.002	0.918	0.914	0.938
75	0.716	0.899	0.879	0.916	0.903	0.884	42.003	0.925	0.92	0.938
76	0.696	0.901	0.883	0.92	0.895	0.874	42.003	0.919	0.915	0.939
77	0.695	0.9	0.884	0.92	0.905	0.889	42.002	0.927	0.923	0.937
78	0.659	0.907	0.891	0.926	0.9	0.887	42.003	0.926	0.922	0.938
79	0.648	0.907	0.894	0.928	0.908	0.894	42.003	0.932	0.928	0.938
80	0.655	0.906	0.893	0.926	0.91	0.898	42.003	0.936	0.931	0.938
81	0.617	0.912	0.901	0.932	0.915	0.906	42.004	0.938	0.935	0.937
82	0.607	0.912	0.904	0.934	0.918	0.908	42.004	0.938	0.935	0.937
83	0.586	0.915	0.909	0.937	0.916	0.91	42.004	0.94	0.937	0.936
84	0.574	0.917	0.911	0.94	0.919	0.908	42.003	0.946	0.942	0.936
85	0.551	0.92	0.917	0.944	0.921	0.917	42.004	0.948	0.945	0.935
86	0.534	0.922	0.918	0.946	0.924	0.922	42.002	0.953	0.949	0.936
87	0.52	0.924	0.922	0.948	0.922	0.919	42.002	0.95	0.946	0.935
88	0.516	0.925	0.922	0.948	0.929	0.925	42.004	0.956	0.953	0.936
89	0.499	0.926	0.925	0.951	0.928	0.927	42.004	0.954	0.951	0.936
90	0.483	0.928	0.928	0.952	0.919	0.915	42.004	0.948	0.944	0.935
91	0.5	0.925	0.924	0.951	0.933	0.933	42.003	0.96	0.956	0.936
92	0.47	0.93	0.93	0.953	0.93	0.927	42.004	0.957	0.953	0.936
93	0.461	0.931	0.931	0.956	0.931	0.93	42.005	0.958	0.954	0.937
94	0.44	0.935	0.933	0.959	0.934	0.935	42.005	0.962	0.958	0.936
95	0.419	0.939	0.937	0.962	0.936	0.934	42.005	0.964	0.961	0.934
96	0.432	0.937	0.934	0.962	0.936	0.936	42.005	0.967	0.964	0.935
97	0.419	0.939	0.937	0.965	0.941	0.938	42.005	0.97	0.967	0.934
98	0.402	0.942	0.94	0.967	0.944	0.939	42.004	0.972	0.97	0.936
99	0.385	0.945	0.942	0.971	0.945	0.941	42.005	0.974	0.971	0.934
100	0.383	0.946	0.942	0.971	0.945	0.942	42.006	0.974	0.971	0.934
