epoch	train.loss	train.mjpeg_acc	train.noise_acc	train.raw_acc	val.mjpeg_acc	val.noise_acc	val.psnr	val.quantized_acc	val.raw_acc	val.ssim
1	2.795	0.503	0.503	0.503	0.504	0.505	42.122	0.505	0.502	0.969
2	2.782	0.51	0.507	0.508	0.511	0.503	42.072	0.51	0.509	0.967
3	2.78	0.518	0.513	0.516	0.519	0.514	42.016	0.518	0.515	0.963
4	2.779	0.526	0.519	0.525	0.533	0.526	42.009	0.534	0.532	0.964
5	2.775	0.535	0.528	0.534	0.541	0.53	41.998	0.541	0.539	0.97
6	2.771	0.543	0.533	0.541	0.543	0.532	41.997	0.543	0.54	0.964
7	2.768	0.546	0.537	0.544	0.544	0.534	41.99	0.545	0.541	0.957
8	2.768	0.548	0.538	0.546	0.554	0.541	41.987	0.555	0.552	0.961
9	2.762	0.553	0.542	0.55	0.549	0.539	41.982	0.549	0.547	0.966
10	2.76	0.554	0.544	0.553	0.548	0.537	41.982	0.548	0.546	0.965
11	2.76	0.553	0.541	0.551	0.551	0.542	41.986	0.552	0.55	0.966
12	2.757	0.551	0.54	0.55	0.551	0.536	41.986	0.557	0.557	0.952
13	2.752	0.551	0.539	0.553	0.554	0.544	41.976	0.556	0.556	0.95
14	2.744	0.553	0.541	0.555	0.554	0.537	41.974	0.561	0.558	0.951
15	2.743	0.558	0.538	0.563	0.554	0.542	41.974	0.557	0.555	0.946
16	2.739	0.55	0.539	0.559	0.554	0.544	41.971	0.56	0.559	0.949
17	2.73	0.553	0.545	0.563	0.561	0.549	41.972	0.569	0.57	0.947
18	2.726	0.558	0.544	0.562	0.561	0.548	41.972	0.573	0.57	0.952
19	2.721	0.565	0.546	0.573	0.574	0.548	41.973	0.587	0.587	0.952
20	2.713	0.57	0.548	0.581	0.562	0.543	41.972	0.581	0.578	0.95
21	2.718	0.571	0.551	0.584	0.577	0.56	41.972	0.593	0.592	0.951
22	2.713	0.573	0.551	0.586	0.566	0.548	41.973	0.587	0.585	0.949
23	2.706	0.573	0.555	0.593	0.582	0.56	41.973	0.604	0.601	0.951
24	2.696	0.585	0.558	0.603	0.589	0.557	41.973	0.609	0.606	0.948
25	2.694	0.587	0.559	0.606	0.589	0.559	41.972	0.613	0.611	0.949
26	2.684	0.594	0.562	0.612	0.591	0.563	41.971	0.615	0.613	0.948
27	2.674	0.596	0.56	0.615	0.599	0.558	41.97	0.616	0.615	0.944
28	2.67	0.606	0.563	0.619	0.612	0.566	41.969	0.626	0.625	0.945
29	2.658	0.611	0.564	0.623	0.621	0.569	41.969	0.634	0.632	0.946
30	2.644	0.617	0.57	0.631	0.619	0.572	41.969	0.631	0.629	0.944
31	2.635	0.621	0.574	0.635	0.624	0.571	41.97	0.641	0.639	0.943
32	2.63	0.626	0.58	0.642	0.628	0.58	41.97	0.648	0.647	0.945
33	2.622	0.631	0.582	0.647	0.63	0.582	41.971	0.653	0.651	0.944
34	2.61	0.636	0.586	0.652	0.632	0.585	41.971	0.653	0.651	0.942
35	2.607	0.638	0.59	0.657	0.637	0.59	41.971	0.657	0.656	0.941
36	2.6	0.64	0.59	0.659	0.625	0.588	41.97	0.65	0.647	0.943
37	2.613	0.637	0.589	0.658	0.636	0.593	41.971	0.66	0.658	0.942
