epoch	train.loss	train.mjpeg_acc	train.raw_acc	val.mjpeg_acc	val.psnr	val.ssim
1	1.386	0.516	0.515	0.525	42.471	0.99
2	1.384	0.523	0.52	0.524	42.439	0.99
3	1.384	0.524	0.522	0.522	42.374	0.99
4	1.384	0.523	0.521	0.523	42.404	0.99
5	1.384	0.524	0.522	0.525	42.524	0.99
6	1.384	0.524	0.522	0.528	42.538	0.99
7	1.384	0.524	0.522	0.526	42.415	0.989
8	1.383	0.525	0.523	0.527	42.412	0.989
9	1.383	0.525	0.523	0.525	42.353	0.989
10	1.383	0.525	0.523	0.521	42.385	0.988
11	1.378	0.526	0.525	0.528	42.391	0.989
12	1.374	0.527	0.525	0.528	42.23	0.988
13	1.372	0.527	0.525	0.523	42.391	0.988
14	1.371	0.527	0.525	0.528	42.316	0.988
15	1.37	0.529	0.526	0.526	42.351	0.988
16	1.369	0.529	0.526	0.537	42.336	0.987
17	1.367	0.53	0.528	0.529	42.369	0.987
18	1.366	0.53	0.527	0.539	42.272	0.987
19	1.365	0.53	0.528	0.531	42.177	0.986
20	1.364	0.531	0.529	0.538	42.25	0.986
21	1.363	0.533	0.53	0.537	42.246	0.986
22	1.361	0.534	0.531	0.528	42.24	0.986
23	1.36	0.534	0.532	0.547	42.248	0.986
24	1.359	0.535	0.532	0.541	42.233	0.985
25	1.358	0.535	0.532	0.535	42.094	0.985
26	1.357	0.536	0.533	0.538	42.144	0.984
27	1.357	0.536	0.533	0.549	42.226	0.986
28	1.354	0.538	0.535	0.543	42.092	0.984
29	1.355	0.537	0.534	0.541	42.225	0.984
30	1.351	0.538	0.534	0.553	42.187	0.984
31	1.352	0.538	0.535	0.546	42.216	0.984
32	1.35	0.54	0.537	0.553	42.219	0.984
33	1.349	0.54	0.537	0.541	42.208	0.985
34	1.347	0.541	0.539	0.547	42.282	0.985
35	1.348	0.541	0.538	0.546	42.222	0.985
36	1.345	0.542	0.539	0.555	42.243	0.985
37	1.345	0.543	0.539	0.545	42.21	0.984
38	1.343	0.543	0.54	0.549	42.253	0.985
39	1.343	0.544	0.541	0.551	42.13	0.984
40	1.343	0.544	0.541	0.563	42.212	0.983
41	1.341	0.545	0.543	0.553	42.199	0.982
42	1.34	0.546	0.542	0.555	42.155	0.982
43	1.338	0.546	0.544	0.55	42.189	0.983
44	1.338	0.547	0.544	0.556	42.213	0.983
45	1.335	0.548	0.544	0.569	42.23	0.982
46	1.336	0.548	0.545	0.548	42.309	0.985
47	1.333	0.55	0.547	0.55	42.117	0.982
48	1.332	0.551	0.548	0.567	42.227	0.981
49	1.329	0.552	0.549	0.565	42.201	0.981
50	1.33	0.552	0.549	0.563	42.272	0.981
51	1.325	0.554	0.551	0.563	42.246	0.98
52	1.323	0.557	0.554	0.572	42.222	0.98
53	1.323	0.555	0.553	0.56	42.189	0.981
54	1.319	0.558	0.557	0.573	42.192	0.98
