epoch	train.loss	train.mjpeg_acc	train.noise_acc	val.base_acc	val.cropped_acc	val.mjpeg_acc	val.noise_acc	val.psnr	val.ssim
1	0.691	0.514	0.514	0.515	0.515	0.518	0.515	43.199	0.99
2	0.683	0.526	0.525	0.522	0.519	0.522	0.522	42.318	0.988
3	0.678	0.531	0.529	0.526	0.523	0.525	0.525	41.773	0.987
4	0.677	0.529	0.528	0.519	0.514	0.515	0.519	41.464	0.986
5	0.674	0.527	0.527	0.523	0.522	0.52	0.523	41.364	0.987
6	0.673	0.53	0.53	0.522	0.517	0.519	0.522	41.264	0.987
7	0.671	0.528	0.528	0.526	0.521	0.525	0.526	41.18	0.986
8	0.669	0.528	0.528	0.519	0.518	0.515	0.519	41.151	0.986
9	0.668	0.525	0.525	0.515	0.512	0.518	0.514	41.024	0.985
10	0.667	0.528	0.529	0.521	0.517	0.518	0.521	41.084	0.985
11	0.667	0.527	0.527	0.518	0.516	0.517	0.517	40.981	0.985
12	0.666	0.526	0.526	0.519	0.52	0.519	0.52	40.976	0.985
13	0.665	0.526	0.526	0.525	0.521	0.522	0.525	40.978	0.985
14	0.665	0.527	0.526	0.524	0.523	0.525	0.523	40.928	0.985
15	0.664	0.526	0.526	0.526	0.525	0.526	0.526	40.897	0.984
16	0.663	0.529	0.527	0.519	0.52	0.518	0.52	40.908	0.984
17	0.662	0.528	0.526	0.52	0.52	0.519	0.52	40.858	0.984
18	0.661	0.533	0.532	0.52	0.521	0.521	0.521	40.871	0.983
19	0.66	0.526	0.527	0.52	0.517	0.52	0.521	40.873	0.983
20	0.659	0.532	0.532	0.523	0.522	0.524	0.523	40.87	0.983
21	0.658	0.535	0.534	0.522	0.52	0.52	0.522	40.835	0.983
22	0.658	0.532	0.531	0.524	0.523	0.524	0.524	40.918	0.983
23	0.657	0.53	0.531	0.525	0.523	0.525	0.526	40.884	0.983
24	0.656	0.53	0.53	0.528	0.525	0.525	0.528	40.897	0.983
25	0.655	0.532	0.533	0.531	0.528	0.528	0.53	40.859	0.981
26	0.654	0.536	0.536	0.524	0.526	0.523	0.524	40.957	0.982
27	0.655	0.535	0.536	0.522	0.519	0.52	0.522	40.889	0.981
28	0.654	0.536	0.537	0.526	0.525	0.525	0.526	40.952	0.981
29	0.653	0.534	0.534	0.531	0.532	0.53	0.531	41.01	0.981
30	0.653	0.54	0.54	0.54	0.532	0.539	0.541	41.076	0.98
31	0.652	0.544	0.543	0.534	0.536	0.535	0.535	41.039	0.98
32	0.65	0.555	0.555	0.546	0.545	0.545	0.546	41.122	0.98
33	0.649	0.56	0.561	0.557	0.555	0.556	0.558	41.169	0.979
34	0.647	0.567	0.567	0.564	0.563	0.559	0.564	41.165	0.979
35	0.645	0.571	0.571	0.563	0.557	0.562	0.564	41.047	0.979
36	0.642	0.574	0.573	0.56	0.559	0.559	0.56	41.112	0.978
37	0.638	0.577	0.576	0.562	0.561	0.561	0.562	41.1	0.978
38	0.634	0.583	0.582	0.565	0.561	0.563	0.565	41.168	0.977
39	0.631	0.58	0.579	0.572	0.569	0.57	0.573	41.184	0.977
40	0.628	0.583	0.583	0.573	0.569	0.57	0.573	41.138	0.976
41	0.626	0.584	0.584	0.57	0.568	0.568	0.57	41.235	0.976
42	0.623	0.587	0.586	0.574	0.568	0.573	0.573	41.179	0.976
43	0.62	0.594	0.594	0.579	0.575	0.573	0.578	41.284	0.977
44	0.617	0.598	0.599	0.597	0.593	0.595	0.596	41.29	0.976
45	0.609	0.61	0.613	0.601	0.594	0.594	0.602	41.308	0.975
46	0.597	0.629	0.632	0.612	0.607	0.604	0.611	41.448	0.974
47	0.588	0.632	0.637	0.623	0.62	0.616	0.623	41.471	0.974
48	0.577	0.639	0.643	0.624	0.62	0.61	0.622	41.452	0.974
49	0.569	0.641	0.648	0.63	0.626	0.619	0.629	41.558	0.972
50	0.56	0.645	0.654	0.642	0.638	0.628	0.642	41.59	0.97
51	0.552	0.647	0.659	0.644	0.639	0.622	0.643	41.658	0.97
52	0.544	0.655	0.667	0.654	0.649	0.633	0.653	41.731	0.97
53	0.532	0.663	0.678	0.667	0.665	0.64	0.665	41.843	0.968
54	0.521	0.673	0.693	0.681	0.676	0.655	0.68	41.863	0.969
55	0.507	0.682	0.707	0.688	0.686	0.663	0.687	41.951	0.968
56	0.494	0.691	0.718	0.701	0.695	0.65	0.701	42.073	0.967
57	0.479	0.701	0.733	0.715	0.709	0.668	0.715	42.098	0.967
58	0.47	0.702	0.741	0.715	0.713	0.672	0.714	42.204	0.967
59	0.457	0.709	0.75	0.729	0.725	0.675	0.729	42.165	0.965
60	0.442	0.718	0.76	0.731	0.727	0.68	0.731	42.117	0.964
61	0.434	0.722	0.766	0.742	0.737	0.685	0.741	42.185	0.964
62	0.423	0.725	0.773	0.753	0.748	0.692	0.752	42.199	0.964
63	0.412	0.731	0.781	0.758	0.751	0.696	0.757	42.224	0.963
64	0.401	0.736	0.791	0.769	0.76	0.704	0.768	42.219	0.963
65	0.391	0.738	0.798	0.774	0.768	0.704	0.773	42.21	0.962
66	0.375	0.752	0.813	0.784	0.778	0.713	0.784	42.197	0.961
67	0.365	0.752	0.818	0.791	0.781	0.71	0.79	42.177	0.961
68	0.356	0.755	0.826	0.793	0.786	0.71	0.791	42.026	0.96
69	0.344	0.761	0.835	0.804	0.799	0.714	0.803	42.177	0.96
70	0.332	0.765	0.843	0.814	0.802	0.719	0.812	42.096	0.96
71	0.319	0.768	0.854	0.817	0.809	0.717	0.814	42.135	0.959
72	0.305	0.774	0.862	0.827	0.817	0.728	0.826	42.119	0.957
73	0.294	0.776	0.871	0.834	0.826	0.723	0.832	42.143	0.958
74	0.28	0.781	0.878	0.837	0.831	0.731	0.836	42.041	0.957
75	0.268	0.785	0.885	0.846	0.838	0.728	0.844	42.139	0.957
76	0.259	0.784	0.889	0.852	0.847	0.723	0.85	42.174	0.958
77	0.243	0.791	0.9	0.859	0.85	0.738	0.857	42.082	0.956
78	0.229	0.794	0.907	0.86	0.851	0.722	0.857	42.005	0.955
79	0.215	0.796	0.915	0.874	0.867	0.745	0.872	42.049	0.955
