epoch	train.acc	train.loss	train.mse	val.acc	val.mse
1	0.5911013719512195	0.7307406617373955	0.007072773577770354	0.6214456644144144	0.0009107098852804451
2	0.6386814024390244	0.6373615858031483	0.0013160999032396188	0.6476984797297297	0.0019889499274762094
3	0.6578696646341463	0.611352212254594	0.0015905122190327725	0.6667018581081081	0.0016681421558615995
4	0.670826981707317	0.5899615340116547	0.0017972121282094499	0.6764850788288288	0.0015740685127172117
5	0.6818216463414634	0.5668184847366519	0.0018674960632513208	0.6957699887387387	0.002067974889189475
6	0.6988757621951219	0.5481714827258413	0.0020503411785040685	0.7007319819819819	0.0022380661705995466
7	0.6974466463414634	0.5410309667994336	0.0021893294340726444	0.700098536036036	0.0021615680149831883
8	0.6969131097560975	0.530817869959808	0.0020480873420970834	0.700098536036036	0.0026829809114034915
9	0.7031631097560975	0.5227560892337706	0.002139632827488751	0.7048141891891891	0.00173732628185839
10	0.7079077743902439	0.5108401547117931	0.002009857585085783	0.7154771959459459	0.0016207185055775284
11	0.7065548780487805	0.5055618066613267	0.0019171906322831423	0.7090371621621622	0.0023303342613953727
12	0.7148818597560975	0.5037809069563702	0.0022496455757901436	0.7162162162162162	0.0019736949748753964
13	0.7231135670731708	0.4922122868095956	0.002019810609564912	0.7308206644144144	0.0019450866069795716
14	0.7278582317073171	0.48823698541013205	0.0021446586683074513	0.7273719031531531	0.0019304191144099375
15	0.7298780487804878	0.4802778111725319	0.002077452592528993	0.7278645833333334	0.0018429128581087465
16	0.7291158536585366	0.4716175141857892	0.0020136870290493455	0.7344453828828829	0.0016854600917950676
17	0.7340510670731707	0.4673882733031017	0.0021670750092442443	0.7230433558558559	0.007120063759151612
18	0.7355373475609757	0.46902338135533217	0.0028364591720718437	0.7311373873873874	0.003212791192135564
19	0.7460175304878048	0.44704440454157385	0.002106570262779913	0.7440878378378378	0.0020576167709051487
20	0.7398628048780488	0.4476429334500941	0.0020943164257559836	0.748803490990991	0.001796055222265758
21	0.7462461890243902	0.44568955374927055	0.0021292998546325577	0.7449676238738738	0.0021659449814726505
22	0.7520960365853658	0.435837720225497	0.0019155870736917344	0.7469031531531531	0.0019640199827483376
23	0.756764481707317	0.43519203808249496	0.0022115354414847565	0.7341638513513513	0.008887939461347487
24	0.7542682926829268	0.4385692538284674	0.0026598315691666267	0.7629856418918919	0.00178235264805456
25	0.7537728658536585	0.4294042526221857	0.0020005904200554986	0.7561233108108109	0.002334497090815021
26	0.7586699695121951	0.42900586796969903	0.002260803731680825	0.7598184121621622	0.002479538195640654
27	0.7549352134146341	0.4266768653218339	0.0021428287466533666	0.7623170045045045	0.0023875252305957917
28	0.7592987804878049	0.421272378869173	0.002193310219658221	0.7664695945945946	0.0018354070221854222
29	0.7653963414634146	0.41662751160016875	0.0020844941498802567	0.7712556306306306	0.0016666956378046322
30	0.771703506097561	0.41077607274055483	0.002181089491719698	0.7721706081081081	0.0031265883479972144
31	0.7722942073170732	0.40642673678514435	0.002074996976568023	0.7766751126126126	0.00196516625415366
32	0.778296493902439	0.4057792462953707	0.0022816846340258674	0.7781883445945946	0.0028356194122786727
33	0.7790967987804878	0.40159762879697286	0.0022986818627431624	0.780299831081081	0.002779599358873056
34	0.7846036585365853	0.3943468156384259	0.0021654666367373087	0.7882882882882883	0.0025443813851656946
35	0.7889100609756098	0.3937154877476576	0.002538570320438139	0.7870565878378378	0.0024443919191489347
36	0.7941310975609757	0.3827139950380093	0.0022652006679691554	0.7879363738738738	0.0029963863833161355
37	0.7919397865853659	0.3837267502052028	0.002376420128658959	0.7907868806306306	0.0030970782091891444
38	0.7885099085365853	0.3825336986925544	0.002386203254913775	0.7897663288288288	0.002072104898927448
39	0.7908727134146342	0.3726387276882079	0.002056851444720495	0.789379222972973	0.001971135558854151
40	0.7864138719512195	0.3724721907115564	0.00204117092156283	0.7907164977477478	0.0016634477614970492
41	0.7896913109756097	0.3681157558429532	0.002022455227788447	0.7886050112612613	0.0022793073723143017
42	0.7913300304878049	0.37041276547966934	0.0022487311061789713	0.7933206644144144	0.0024445617093226393
43	0.798532774390244	0.3612001977315763	0.002158169978775266	0.7991976351351351	0.0022988752818557325
44	0.8015434451219512	0.3552120053186649	0.0021823892511836276	0.8026463963963963	0.002778595563041063
45	0.8017149390243903	0.35520606825991374	0.0022141423570446487	0.8053209459459459	0.0019810906651236853
46	0.8019626524390244	0.3516007683626035	0.0021234342868144554	0.8041948198198198	0.0024498108069638948
47	0.8045541158536585	0.3459510428149526	0.0020574221342075164	0.8024352477477478	0.0023790304528062676
48	0.8013719512195122	0.34764337990342115	0.002161921734535476	0.8033854166666666	0.002117829229514878
49	0.80234375	0.3409335639418625	0.0019094409835638433	0.8040892454954955	0.0018409612359948926
50	0.8058307926829268	0.340378110147104	0.002012071407559078	0.8064470720720721	0.002413274659481537
51	0.8077172256097561	0.33902670290411974	0.002017627963682682	0.8095791103603603	0.0016720890149323118
52	0.8134336890243903	0.3324922343579734	0.0018986387785933003	0.81640625	0.0021967425405442177
53	0.8177019817073171	0.3296495590268112	0.001905540658002038	0.8209107545045045	0.0024241116673996053
54	0.8213986280487805	0.3259390947295398	0.0020521602695580663	0.8231981981981982	0.002912653654159324
55	0.8280297256097561	0.3238806442516606	0.0023523554109354935	0.8303772522522522	0.001778545630005029
56	0.8358612804878048	0.31253599960629536	0.002235675379974631	0.8345298423423423	0.002320212650800812
57	0.8364710365853658	0.3083628609413054	0.0020071256315199342	0.833227759009009	0.0018301021678977319
58	0.8373285060975609	0.31010761777075324	0.0022563620612434136	0.8420256193693694	0.001972406664192005
59	0.8413300304878049	0.2983746378160105	0.0020711705003433473	0.8420608108108109	0.0018536941356000465
60	0.8500762195121951	0.28962945000427526	0.002159476413096233	0.851879222972973	0.0019427763082103821
61	0.8553353658536585	0.2824794506881295	0.002100208277314356	0.8544833896396397	0.002065957672810098
62	0.8573551829268292	0.27760225628934254	0.0020969525876841167	0.8514921171171171	0.0018871061289934693
63	0.8574504573170731	0.273638114115087	0.0020996071273324695	0.8613457207207207	0.0020589570311393152
64	0.8583460365853659	0.2717102470921307	0.0021819801666069687	0.8571227477477478	0.0021836361323424557
