epoch	train.loss	train.mjpeg_acc	train.raw_acc	val.mjpeg_acc	val.psnr	val.ssim
1	1.385	0.517	0.515	0.533	42.353	0.989
2	1.383	0.533	0.527	0.526	42.212	0.989
3	1.382	0.537	0.53	0.539	42.196	0.988
4	1.38	0.539	0.531	0.536	42.173	0.988
5	1.379	0.541	0.532	0.538	42.225	0.987
6	1.375	0.549	0.542	0.553	42.167	0.988
7	1.368	0.557	0.552	0.566	42.209	0.987
8	1.362	0.568	0.563	0.565	42.394	0.989
9	1.359	0.567	0.562	0.569	42.24	0.988
10	1.358	0.567	0.562	0.573	42.217	0.988
11	1.354	0.571	0.565	0.572	42.218	0.988
12	1.353	0.57	0.565	0.58	42.242	0.988
13	1.353	0.572	0.567	0.576	42.207	0.988
14	1.35	0.574	0.567	0.577	42.248	0.988
15	1.35	0.575	0.569	0.571	42.232	0.988
16	1.348	0.576	0.571	0.583	42.236	0.988
17	1.35	0.575	0.569	0.585	42.203	0.987
18	1.347	0.578	0.572	0.581	42.2	0.987
19	1.344	0.579	0.574	0.581	42.255	0.987
20	1.347	0.577	0.57	0.583	42.219	0.987
21	1.343	0.577	0.571	0.582	42.242	0.987
22	1.34	0.581	0.574	0.585	42.224	0.987
23	1.342	0.58	0.574	0.577	42.274	0.988
24	1.34	0.582	0.576	0.586	42.252	0.987
25	1.341	0.578	0.572	0.584	42.22	0.987
26	1.34	0.579	0.573	0.571	42.222	0.987
27	1.342	0.58	0.574	0.582	42.298	0.987
28	1.34	0.577	0.571	0.583	42.259	0.987
29	1.338	0.581	0.575	0.582	42.248	0.987
30	1.334	0.581	0.576	0.591	42.285	0.987
31	1.339	0.581	0.575	0.59	42.249	0.987
32	1.337	0.58	0.573	0.587	42.291	0.987
33	1.332	0.579	0.573	0.585	42.287	0.987
34	1.336	0.577	0.57	0.582	42.3	0.987
35	1.337	0.581	0.576	0.59	42.254	0.987
36	1.331	0.582	0.576	0.588	42.245	0.987
37	1.335	0.579	0.572	0.59	42.296	0.987
38	1.328	0.583	0.577	0.588	42.304	0.987
39	1.33	0.58	0.573	0.588	42.281	0.987
40	1.331	0.583	0.576	0.581	42.311	0.986
41	1.33	0.583	0.577	0.595	42.28	0.986
42	1.328	0.585	0.578	0.589	42.297	0.986
43	1.324	0.588	0.58	0.58	42.226	0.986
44	1.325	0.585	0.579	0.591	42.276	0.987
45	1.326	0.585	0.578	0.59	42.297	0.987
46	1.324	0.586	0.579	0.589	42.31	0.987
47	1.324	0.585	0.578	0.595	42.321	0.986
48	1.325	0.587	0.581	0.599	42.299	0.986
49	1.323	0.589	0.584	0.595	42.345	0.986
50	1.322	0.587	0.581	0.593	42.335	0.986
51	1.324	0.587	0.582	0.589	42.339	0.986
52	1.321	0.586	0.58	0.596	42.295	0.986
53	1.317	0.589	0.583	0.593	42.279	0.986
54	1.314	0.591	0.584	0.593	42.323	0.986
55	1.319	0.59	0.582	0.592	42.297	0.985
56	1.317	0.591	0.586	0.6	42.317	0.986
57	1.316	0.588	0.583	0.592	42.24	0.985
58	1.313	0.587	0.582	0.599	42.309	0.985
59	1.311	0.588	0.581	0.595	42.285	0.985
60	1.306	0.593	0.587	0.599	42.324	0.985
61	1.301	0.591	0.585	0.598	42.366	0.985
62	1.302	0.594	0.587	0.6	42.376	0.984
63	1.298	0.595	0.589	0.6	42.362	0.984
64	1.295	0.593	0.587	0.604	42.343	0.985
65	1.289	0.598	0.592	0.604	42.345	0.984
66	1.29	0.594	0.589	0.599	42.321	0.984
67	1.289	0.595	0.59	0.601	42.369	0.984
68	1.285	0.595	0.59	0.607	42.384	0.983
69	1.281	0.595	0.59	0.605	42.37	0.984
70	1.279	0.596	0.592	0.607	42.413	0.983
71	1.278	0.596	0.591	0.609	42.427	0.983
72	1.276	0.597	0.592	0.596	42.395	0.983
73	1.271	0.597	0.593	0.611	42.399	0.983
74	1.266	0.597	0.593	0.591	42.414	0.982
75	1.262	0.602	0.598	0.61	42.45	0.982
76	1.254	0.601	0.597	0.606	42.456	0.981
77	1.252	0.599	0.596	0.611	42.441	0.981
78	1.247	0.599	0.595	0.605	42.455	0.981
79	1.243	0.602	0.598	0.606	42.434	0.981
80	1.239	0.6	0.598	0.61	42.438	0.98
81	1.235	0.6	0.598	0.602	42.492	0.979
82	1.233	0.603	0.6	0.607	42.486	0.98
83	1.225	0.602	0.6	0.611	42.482	0.98
84	1.224	0.602	0.599	0.611	42.479	0.979
85	1.216	0.604	0.602	0.611	42.531	0.979
86	1.218	0.604	0.603	0.615	42.507	0.979
87	1.213	0.605	0.604	0.611	42.48	0.98
88	1.212	0.603	0.602	0.603	42.53	0.979
89	1.21	0.605	0.604	0.615	42.519	0.979
90	1.207	0.605	0.603	0.614	42.52	0.979
91	1.203	0.606	0.605	0.607	42.533	0.979
92	1.202	0.607	0.605	0.608	42.531	0.979
93	1.199	0.608	0.607	0.615	42.529	0.979
94	1.195	0.607	0.606	0.619	42.539	0.979
95	1.194	0.606	0.605	0.614	42.533	0.979
96	1.191	0.607	0.606	0.613	42.536	0.978
97	1.188	0.608	0.607	0.616	42.519	0.979
98	1.188	0.608	0.607	0.611	42.521	0.979
99	1.185	0.611	0.611	0.618	42.546	0.978
100	1.184	0.61	0.609	0.617	42.524	0.977
101	1.184	0.611	0.61	0.619	42.586	0.977
102	1.179	0.61	0.609	0.619	42.582	0.978
103	1.179	0.612	0.611	0.617	42.588	0.977
104	1.175	0.61	0.61	0.614	42.571	0.977
105	1.177	0.611	0.61	0.616	42.585	0.977
106	1.171	0.611	0.613	0.613	42.625	0.977
107	1.17	0.614	0.613	0.621	42.589	0.977
108	1.17	0.614	0.613	0.621	42.594	0.977
109	1.165	0.615	0.615	0.615	42.593	0.977
110	1.169	0.612	0.613	0.621	42.577	0.977
111	1.164	0.614	0.614	0.625	42.581	0.976
112	1.162	0.618	0.618	0.623	42.6	0.977
113	1.162	0.613	0.613	0.613	42.645	0.976
114	1.164	0.612	0.612	0.622	42.594	0.976
115	1.162	0.615	0.616	0.619	42.647	0.975
116	1.157	0.615	0.615	0.618	42.615	0.975
117	1.161	0.612	0.612	0.62	42.595	0.976
118	1.156	0.617	0.617	0.615	42.604	0.976
119	1.152	0.617	0.616	0.624	42.636	0.975
120	1.152	0.616	0.616	0.622	42.65	0.975
121	1.149	0.617	0.618	0.622	42.69	0.975
122	1.149	0.617	0.618	0.626	42.654	0.975
123	1.15	0.615	0.617	0.621	42.67	0.975
124	1.148	0.618	0.618	0.625	42.632	0.975
125	1.147	0.62	0.621	0.626	42.605	0.976
126	1.143	0.62	0.621	0.621	42.619	0.975
127	1.144	0.619	0.619	0.623	42.711	0.975
128	1.142	0.619	0.619	0.621	42.683	0.976
129	1.142	0.62	0.622	0.622	42.71	0.975
130	1.14	0.622	0.623	0.628	42.695	0.976
131	1.14	0.62	0.621	0.62	42.704	0.975
132	1.137	0.622	0.623	0.625	42.735	0.975
133	1.137	0.622	0.623	0.627	42.707	0.975
134	1.138	0.623	0.624	0.624	42.76	0.976
135	1.137	0.623	0.624	0.624	42.75	0.975
136	1.132	0.625	0.626	0.623	42.766	0.975
137	1.133	0.622	0.624	0.621	42.723	0.976
138	1.136	0.623	0.624	0.624	42.787	0.975
139	1.13	0.625	0.626	0.631	42.779	0.974
140	1.135	0.625	0.627	0.625	42.788	0.974
141	1.126	0.628	0.63	0.629	42.742	0.976
142	1.127	0.627	0.629	0.631	42.79	0.976
143	1.129	0.628	0.63	0.632	42.749	0.976
144	1.129	0.626	0.627	0.63	42.782	0.975
145	1.123	0.629	0.631	0.636	42.76	0.976
146	1.122	0.631	0.632	0.637	42.785	0.976
147	1.127	0.629	0.631	0.638	42.784	0.976
148	1.123	0.63	0.632	0.633	42.789	0.976
149	1.122	0.63	0.632	0.633	42.751	0.975
150	1.119	0.635	0.637	0.639	42.814	0.976
151	1.117	0.634	0.637	0.63	42.78	0.975
152	1.116	0.635	0.638	0.638	42.799	0.975
153	1.11	0.637	0.64	0.636	42.859	0.976
154	1.109	0.634	0.637	0.636	42.838	0.977
155	1.11	0.637	0.64	0.642	42.876	0.977
156	1.105	0.638	0.64	0.642	42.898	0.977
157	1.103	0.638	0.642	0.631	42.999	0.976
158	1.103	0.64	0.644	0.643	42.98	0.978
159	1.097	0.64	0.644	0.638	42.969	0.977
160	1.095	0.64	0.644	0.646	42.937	0.977
161	1.092	0.642	0.646	0.636	42.983	0.977
162	1.094	0.64	0.644	0.64	42.965	0.977
163	1.09	0.642	0.647	0.645	42.983	0.977
164	1.086	0.646	0.65	0.649	42.969	0.977
165	1.087	0.644	0.648	0.648	42.985	0.977
166	1.082	0.646	0.65	0.652	42.946	0.978
167	1.075	0.65	0.653	0.646	43.006	0.977
168	1.075	0.65	0.655	0.648	42.894	0.977
169	1.069	0.654	0.657	0.646	42.965	0.976
170	1.067	0.653	0.657	0.65	42.91	0.977
171	1.064	0.654	0.658	0.642	42.88	0.977
172	1.064	0.653	0.657	0.656	42.906	0.977
173	1.055	0.655	0.66	0.651	42.983	0.976
174	1.059	0.655	0.659	0.649	42.955	0.976
175	1.054	0.656	0.662	0.654	43.028	0.975
176	1.05	0.658	0.662	0.653	42.961	0.976
177	1.048	0.658	0.663	0.66	43.002	0.976
178	1.05	0.657	0.662	0.661	42.975	0.975
179	1.044	0.659	0.664	0.664	42.972	0.975
180	1.042	0.661	0.667	0.656	42.973	0.975
181	1.037	0.661	0.666	0.648	43.01	0.975
182	1.037	0.66	0.667	0.658	42.988	0.975
183	1.033	0.663	0.669	0.659	42.993	0.975
184	1.03	0.663	0.669	0.657	42.985	0.975
185	1.03	0.663	0.667	0.664	43.095	0.975
186	1.03	0.663	0.669	0.655	43.019	0.974
187	1.026	0.664	0.67	0.657	43.027	0.975
188	1.025	0.665	0.671	0.655	43.033	0.975
189	1.026	0.662	0.67	0.666	43.011	0.975
190	1.024	0.665	0.671	0.658	43.03	0.975
191	1.017	0.667	0.673	0.665	43.017	0.975
