epoch	train.adv_loss	train.loss	train.mjpeg_acc	train.raw_acc	val.crop_acc	val.mjpeg_acc	val.psnr	val.scale_acc	val.ssim
1	-0.086	1.301	0.5	0.5	0.496	0.495	44.057	0.496	0.986
2	-0.012	1.383	0.528	0.527	0.517	0.517	43.393	0.516	0.987
3	0.004	1.389	0.544	0.54	0.55	0.55	42.52	0.546	0.989
4	-0.003	1.386	0.548	0.544	0.55	0.549	42.343	0.546	0.989
5	0.002	1.385	0.545	0.542	0.519	0.519	42.999	0.517	0.989
6	0.002	1.385	0.548	0.544	0.542	0.542	42.513	0.54	0.989
7	-0.0	1.38	0.552	0.546	0.541	0.543	42.575	0.542	0.989
8	-0.001	1.377	0.547	0.544	0.534	0.533	43.389	0.531	0.987
9	-0.023	1.378	0.553	0.548	0.554	0.556	43.238	0.553	0.988
10	0.008	1.372	0.556	0.55	0.556	0.56	42.538	0.556	0.988
11	0.001	1.361	0.561	0.554	0.566	0.571	42.39	0.564	0.987
12	-0.001	1.351	0.567	0.558	0.541	0.55	42.246	0.548	0.988
13	-0.007	1.339	0.571	0.563	0.578	0.583	42.395	0.577	0.988
14	-0.003	1.337	0.572	0.563	0.554	0.56	42.261	0.553	0.988
15	-0.008	1.334	0.575	0.566	0.576	0.582	42.186	0.574	0.986
16	-0.008	1.334	0.573	0.563	0.572	0.576	42.32	0.572	0.987
17	-0.015	1.334	0.573	0.565	0.573	0.579	42.338	0.573	0.987
18	-0.023	1.332	0.573	0.565	0.571	0.579	42.224	0.572	0.987
19	-0.02	1.333	0.573	0.564	0.56	0.568	42.169	0.562	0.987
20	-0.017	1.333	0.569	0.56	0.566	0.576	42.302	0.569	0.987
21	-0.004	1.328	0.575	0.565	0.579	0.586	42.28	0.579	0.987
22	-0.006	1.329	0.574	0.566	0.573	0.578	42.23	0.573	0.987
23	-0.009	1.328	0.575	0.566	0.578	0.584	42.238	0.578	0.986
24	-0.009	1.327	0.576	0.567	0.579	0.587	42.263	0.58	0.987
25	-0.015	1.326	0.576	0.567	0.581	0.589	42.236	0.583	0.987
26	-0.02	1.328	0.576	0.569	0.581	0.589	42.275	0.582	0.987
27	-0.022	1.327	0.576	0.568	0.577	0.583	42.261	0.576	0.987
28	-0.019	1.327	0.576	0.567	0.581	0.589	42.256	0.581	0.987
29	-0.021	1.326	0.573	0.565	0.585	0.592	42.265	0.586	0.987
30	-0.027	1.326	0.576	0.567	0.58	0.588	42.27	0.582	0.987
31	-0.03	1.33	0.577	0.567	0.578	0.589	42.244	0.581	0.987
32	-0.035	1.328	0.574	0.565	0.56	0.566	42.143	0.558	0.987
33	-0.034	1.331	0.576	0.567	0.577	0.584	42.205	0.577	0.987
34	-0.032	1.329	0.579	0.57	0.563	0.57	42.194	0.563	0.986
35	-0.03	1.329	0.576	0.567	0.565	0.57	42.154	0.563	0.986
36	-0.034	1.327	0.578	0.569	0.583	0.589	42.16	0.581	0.986
37	-0.03	1.332	0.576	0.566	0.584	0.59	42.224	0.583	0.987
38	-0.03	1.329	0.576	0.567	0.573	0.581	42.208	0.574	0.987
39	-0.035	1.329	0.574	0.566	0.562	0.569	42.173	0.564	0.987
40	-0.038	1.329	0.575	0.566	0.58	0.586	42.196	0.579	0.987
41	-0.035	1.328	0.576	0.567	0.574	0.582	42.208	0.575	0.986
42	-0.042	1.328	0.578	0.567	0.567	0.575	42.164	0.567	0.986
43	-0.038	1.33	0.574	0.564	0.581	0.588	42.226	0.582	0.987
44	-0.035	1.33	0.576	0.568	0.582	0.59	42.219	0.584	0.987
45	-0.042	1.328	0.578	0.569	0.57	0.578	42.148	0.57	0.986
46	-0.038	1.331	0.576	0.565	0.562	0.568	42.129	0.562	0.986
47	-0.034	1.328	0.576	0.567	0.561	0.566	42.161	0.559	0.986
48	-0.038	1.33	0.574	0.566	0.584	0.59	42.185	0.584	0.986
49	-0.04	1.33	0.576	0.565	0.565	0.569	42.129	0.563	0.986
50	-0.039	1.329	0.577	0.568	0.585	0.593	42.204	0.584	0.986
51	-0.037	1.33	0.577	0.568	0.575	0.586	42.205	0.577	0.986
52	-0.041	1.328	0.579	0.57	0.577	0.584	42.162	0.576	0.986
53	-0.043	1.33	0.578	0.569	0.575	0.583	42.218	0.577	0.986
54	-0.046	1.335	0.574	0.564	0.565	0.571	42.175	0.566	0.987
55	-0.037	1.329	0.576	0.568	0.575	0.583	42.175	0.576	0.986
56	-0.045	1.33	0.576	0.567	0.577	0.585	42.225	0.576	0.986
57	-0.042	1.329	0.575	0.568	0.579	0.588	42.196	0.581	0.986
58	-0.04	1.33	0.574	0.566	0.559	0.564	42.137	0.559	0.987
59	-0.044	1.331	0.574	0.566	0.578	0.585	42.171	0.578	0.986
60	-0.048	1.331	0.578	0.568	0.584	0.591	42.196	0.585	0.986
61	-0.051	1.33	0.578	0.569	0.584	0.59	42.207	0.584	0.987
62	-0.044	1.33	0.573	0.566	0.581	0.59	42.204	0.582	0.987
63	-0.043	1.328	0.577	0.568	0.581	0.589	42.199	0.581	0.986
64	-0.047	1.331	0.575	0.567	0.571	0.579	42.152	0.572	0.986
65	-0.047	1.33	0.58	0.57	0.577	0.586	42.179	0.578	0.986
66	-0.042	1.331	0.578	0.568	0.58	0.587	42.196	0.58	0.986
67	-0.047	1.329	0.578	0.569	0.57	0.574	42.178	0.568	0.986
68	-0.043	1.328	0.574	0.565	0.579	0.585	42.186	0.578	0.986
69	-0.054	1.33	0.577	0.568	0.578	0.585	42.196	0.578	0.986
70	-0.053	1.329	0.578	0.569	0.571	0.577	42.159	0.57	0.986
71	-0.052	1.33	0.576	0.567	0.586	0.593	42.202	0.587	0.986
72	-0.048	1.331	0.578	0.568	0.584	0.591	42.208	0.582	0.986
73	-0.055	1.329	0.577	0.568	0.583	0.591	42.217	0.586	0.986
74	-0.053	1.33	0.577	0.569	0.58	0.591	42.211	0.584	0.987
75	-0.052	1.332	0.577	0.568	0.548	0.554	42.18	0.547	0.987
76	-0.052	1.329	0.578	0.569	0.579	0.586	42.209	0.581	0.987
77	-0.046	1.331	0.575	0.566	0.576	0.583	42.162	0.576	0.987
78	-0.05	1.331	0.574	0.567	0.575	0.582	42.211	0.575	0.987
79	-0.05	1.331	0.574	0.566	0.586	0.591	42.221	0.586	0.986
80	-0.054	1.332	0.576	0.567	0.56	0.564	42.133	0.559	0.987
81	-0.06	1.33	0.574	0.565	0.583	0.59	42.221	0.583	0.986
82	-0.053	1.331	0.574	0.565	0.58	0.586	42.185	0.579	0.987
83	-0.065	1.331	0.575	0.567	0.582	0.591	42.181	0.585	0.987
84	-0.056	1.333	0.575	0.567	0.564	0.568	42.171	0.563	0.986
85	-0.047	1.329	0.579	0.57	0.571	0.578	42.147	0.572	0.987
86	-0.051	1.332	0.575	0.565	0.577	0.585	42.16	0.577	0.986
87	-0.053	1.333	0.577	0.567	0.57	0.577	42.133	0.57	0.986
88	-0.059	1.327	0.575	0.566	0.58	0.587	42.196	0.579	0.986
89	-0.041	1.331	0.575	0.566	0.567	0.574	42.147	0.568	0.987
90	-0.055	1.332	0.576	0.565	0.571	0.578	42.143	0.568	0.986
91	-0.05	1.331	0.578	0.57	0.581	0.588	42.193	0.582	0.986
92	-0.055	1.329	0.578	0.57	0.58	0.583	42.146	0.576	0.987
93	-0.045	1.332	0.577	0.568	0.581	0.588	42.213	0.582	0.987
94	-0.061	1.335	0.575	0.566	0.573	0.578	42.144	0.571	0.986
95	-0.053	1.333	0.573	0.564	0.573	0.58	42.157	0.572	0.986
96	-0.054	1.331	0.575	0.565	0.581	0.587	42.216	0.582	0.986
97	-0.053	1.333	0.575	0.565	0.575	0.582	42.176	0.576	0.986
98	-0.055	1.331	0.575	0.565	0.585	0.593	42.183	0.586	0.987
99	-0.06	1.329	0.577	0.568	0.581	0.59	42.219	0.583	0.986
100	-0.054	1.33	0.576	0.568	0.565	0.57	42.142	0.564	0.986
101	-0.061	1.329	0.576	0.568	0.567	0.573	42.133	0.565	0.986
102	-0.046	1.33	0.576	0.567	0.578	0.588	42.196	0.58	0.986
103	-0.055	1.329	0.578	0.569	0.571	0.576	42.18	0.568	0.986
104	-0.055	1.334	0.574	0.567	0.574	0.584	42.221	0.577	0.986
105	-0.05	1.33	0.576	0.566	0.58	0.589	42.209	0.582	0.987
106	-0.036	1.329	0.577	0.568	0.588	0.595	42.201	0.589	0.986
107	-0.055	1.33	0.576	0.567	0.585	0.593	42.201	0.588	0.986
108	-0.053	1.327	0.577	0.568	0.574	0.583	42.171	0.575	0.986
