epoch	train.loss	train.mjpeg_acc	train.noise_acc	train.raw_acc	val.mjpeg_acc	val.noise_acc	val.psnr	val.quantized_acc	val.raw_acc	val.ssim
1	2.1	0.501	0.502	0.502	0.498	0.497	42.02	0.498	0.497	0.984
2	2.08	0.503	0.502	0.502	0.501	0.5	42.021	0.501	0.5	0.983
3	2.08	0.501	0.5	0.501	0.507	0.508	42.075	0.508	0.507	0.983
4	2.08	0.502	0.503	0.503	0.508	0.506	42.046	0.507	0.507	0.982
5	2.08	0.505	0.504	0.503	0.501	0.501	42.019	0.502	0.501	0.984
6	2.079	0.504	0.503	0.503	0.504	0.504	42.031	0.504	0.504	0.982
7	2.079	0.505	0.505	0.505	0.506	0.503	42.035	0.505	0.502	0.982
8	2.078	0.513	0.511	0.511	0.516	0.513	42.004	0.516	0.513	0.982
9	2.078	0.514	0.514	0.513	0.512	0.51	41.993	0.512	0.51	0.983
10	2.076	0.526	0.523	0.522	0.528	0.526	41.991	0.526	0.525	0.98
11	2.081	0.522	0.519	0.52	0.52	0.521	41.982	0.521	0.52	0.981
12	2.077	0.525	0.523	0.522	0.536	0.534	41.984	0.535	0.533	0.98
13	2.073	0.531	0.53	0.53	0.533	0.533	41.979	0.535	0.534	0.981
14	2.072	0.533	0.531	0.53	0.535	0.532	41.974	0.535	0.533	0.981
15	2.07	0.533	0.532	0.532	0.536	0.534	41.976	0.536	0.533	0.981
16	2.066	0.539	0.537	0.537	0.541	0.54	41.973	0.541	0.54	0.98
17	2.065	0.539	0.54	0.54	0.542	0.541	41.971	0.542	0.54	0.98
18	2.063	0.541	0.54	0.54	0.54	0.539	41.972	0.541	0.539	0.981
19	2.063	0.542	0.541	0.541	0.541	0.54	41.97	0.541	0.54	0.981
20	2.059	0.551	0.548	0.548	0.553	0.552	41.97	0.554	0.552	0.981
21	2.052	0.558	0.556	0.556	0.558	0.555	41.969	0.556	0.556	0.981
22	2.049	0.564	0.561	0.561	0.562	0.561	41.973	0.563	0.561	0.98
23	2.039	0.572	0.569	0.569	0.571	0.57	41.973	0.572	0.57	0.978
24	2.032	0.578	0.577	0.577	0.579	0.578	41.975	0.581	0.578	0.978
25	2.023	0.583	0.58	0.58	0.583	0.58	41.973	0.583	0.581	0.977
26	2.014	0.587	0.586	0.585	0.587	0.584	41.971	0.588	0.585	0.977
27	1.999	0.595	0.594	0.593	0.589	0.589	41.974	0.591	0.589	0.976
28	1.999	0.595	0.594	0.594	0.6	0.597	41.972	0.602	0.597	0.976
29	1.988	0.598	0.598	0.598	0.6	0.599	41.97	0.603	0.6	0.975
30	1.981	0.598	0.602	0.602	0.601	0.597	41.969	0.602	0.597	0.976
31	1.972	0.603	0.604	0.604	0.602	0.601	41.967	0.604	0.602	0.976
32	1.966	0.603	0.603	0.602	0.598	0.598	41.968	0.602	0.599	0.976
33	1.957	0.603	0.603	0.603	0.607	0.607	41.967	0.61	0.608	0.975
34	1.943	0.607	0.608	0.607	0.607	0.607	41.965	0.61	0.606	0.975
35	1.939	0.607	0.608	0.607	0.606	0.609	41.965	0.613	0.609	0.975
36	1.93	0.604	0.607	0.607	0.61	0.609	41.964	0.613	0.61	0.974
37	1.917	0.607	0.607	0.607	0.61	0.606	41.962	0.612	0.609	0.975
38	1.909	0.611	0.611	0.611	0.605	0.605	41.963	0.607	0.605	0.974
39	1.914	0.612	0.613	0.613	0.61	0.611	41.962	0.613	0.61	0.974
40	1.915	0.607	0.607	0.607	0.609	0.61	41.963	0.614	0.611	0.973
41	1.902	0.613	0.614	0.614	0.615	0.615	41.962	0.619	0.615	0.974
42	1.898	0.616	0.617	0.617	0.618	0.619	41.962	0.624	0.619	0.973
43	1.89	0.616	0.617	0.618	0.616	0.616	41.96	0.618	0.616	0.974
44	1.892	0.614	0.615	0.614	0.614	0.614	41.962	0.617	0.615	0.974
45	1.884	0.616	0.618	0.617	0.618	0.62	41.961	0.624	0.619	0.973
46	1.87	0.621	0.621	0.621	0.619	0.616	41.96	0.62	0.616	0.973
47	1.867	0.623	0.622	0.623	0.62	0.621	41.96	0.625	0.622	0.972
48	1.873	0.621	0.625	0.625	0.624	0.625	41.961	0.63	0.626	0.973
49	1.869	0.623	0.623	0.624	0.62	0.621	41.96	0.625	0.621	0.973
50	1.858	0.626	0.63	0.629	0.63	0.63	41.96	0.635	0.632	0.973
51	1.852	0.629	0.632	0.631	0.627	0.627	41.96	0.631	0.627	0.973
52	1.853	0.628	0.629	0.628	0.623	0.624	41.959	0.628	0.624	0.972
53	1.836	0.635	0.636	0.637	0.637	0.638	41.959	0.641	0.638	0.972
54	1.828	0.635	0.634	0.634	0.631	0.634	41.959	0.638	0.635	0.972
55	1.831	0.635	0.635	0.635	0.634	0.633	41.959	0.636	0.634	0.972
56	1.831	0.634	0.633	0.634	0.629	0.63	41.96	0.635	0.63	0.971
57	1.825	0.634	0.635	0.635	0.636	0.636	41.96	0.639	0.635	0.972
58	1.829	0.634	0.634	0.633	0.631	0.632	41.959	0.636	0.633	0.972
59	1.824	0.635	0.637	0.637	0.634	0.635	41.959	0.641	0.637	0.97
60	1.823	0.636	0.638	0.638	0.641	0.644	41.958	0.646	0.642	0.971
61	1.805	0.646	0.646	0.646	0.651	0.654	41.958	0.656	0.654	0.972
62	1.805	0.642	0.645	0.645	0.638	0.64	41.958	0.645	0.641	0.97
63	1.798	0.646	0.647	0.648	0.641	0.642	41.958	0.647	0.642	0.971
64	1.788	0.651	0.654	0.654	0.649	0.652	41.957	0.658	0.653	0.971
65	1.803	0.651	0.653	0.653	0.646	0.646	41.958	0.652	0.646	0.971
66	1.793	0.651	0.655	0.654	0.654	0.657	41.958	0.663	0.657	0.97
67	1.779	0.658	0.66	0.66	0.659	0.661	41.958	0.664	0.66	0.971
68	1.778	0.656	0.658	0.659	0.659	0.663	41.956	0.668	0.663	0.97
69	1.773	0.663	0.666	0.665	0.66	0.666	41.956	0.671	0.666	0.97
70	1.763	0.665	0.669	0.669	0.665	0.669	41.957	0.673	0.67	0.97
71	1.749	0.668	0.671	0.672	0.668	0.672	41.957	0.677	0.674	0.969
72	1.745	0.671	0.674	0.673	0.669	0.672	41.956	0.678	0.671	0.97
73	1.751	0.67	0.673	0.672	0.671	0.674	41.957	0.677	0.673	0.969
74	1.75	0.675	0.676	0.676	0.671	0.675	41.957	0.68	0.676	0.969
75	1.74	0.677	0.678	0.678	0.672	0.676	41.957	0.68	0.676	0.969
76	1.743	0.675	0.677	0.677	0.673	0.678	41.956	0.682	0.678	0.968
77	1.73	0.677	0.682	0.682	0.681	0.684	41.957	0.688	0.683	0.968
78	1.728	0.679	0.681	0.682	0.675	0.677	41.956	0.682	0.678	0.968
79	1.732	0.68	0.684	0.685	0.68	0.688	41.956	0.69	0.687	0.968
80	1.726	0.682	0.688	0.688	0.678	0.684	41.957	0.689	0.685	0.968
81	1.72	0.683	0.687	0.687	0.681	0.686	41.956	0.689	0.686	0.968
82	1.711	0.686	0.689	0.689	0.689	0.695	41.955	0.699	0.694	0.967
83	1.707	0.684	0.69	0.689	0.684	0.687	41.956	0.69	0.686	0.968
84	1.706	0.684	0.691	0.691	0.687	0.693	41.956	0.698	0.694	0.967
85	1.694	0.69	0.696	0.697	0.692	0.699	41.956	0.701	0.698	0.968
