epoch	train.adv_loss	train.loss	train.mjpeg_acc	train.raw_acc	val.crop_acc	val.mjpeg_acc	val.psnr	val.scale_acc	val.ssim
1	NaN	1.382	0.533	0.528	0.536	0.536	42.176	0.532	0.989
2	NaN	1.378	0.546	0.541	0.555	0.557	42.307	0.551	0.989
3	NaN	1.37	0.551	0.547	0.546	0.547	42.147	0.543	0.988
4	NaN	1.364	0.554	0.548	0.515	0.516	42.193	0.514	0.988
5	NaN	1.357	0.555	0.55	0.548	0.548	42.064	0.545	0.987
6	NaN	1.352	0.557	0.551	0.559	0.56	42.176	0.556	0.988
7	NaN	1.352	0.559	0.551	0.532	0.536	42.032	0.531	0.988
8	NaN	1.348	0.556	0.55	0.556	0.558	42.156	0.551	0.987
9	NaN	1.344	0.559	0.553	0.551	0.553	42.089	0.549	0.987
10	NaN	1.344	0.558	0.552	0.542	0.543	42.223	0.538	0.988
11	NaN	1.348	0.557	0.551	0.56	0.562	42.062	0.556	0.986
12	NaN	1.332	0.566	0.556	0.556	0.56	42.152	0.554	0.987
13	NaN	1.33	0.568	0.559	0.514	0.515	41.99	0.513	0.987
14	NaN	1.316	0.571	0.563	0.581	0.591	42.102	0.583	0.985
15	NaN	1.304	0.582	0.571	0.588	0.601	42.013	0.591	0.983
16	NaN	1.267	0.6	0.587	0.613	0.625	42.079	0.613	0.981
17	NaN	1.224	0.622	0.609	0.644	0.657	42.047	0.648	0.978
18	NaN	1.161	0.65	0.636	0.655	0.669	42.061	0.657	0.975
19	NaN	1.105	0.671	0.653	0.66	0.673	42.045	0.656	0.976
20	NaN	1.048	0.694	0.678	0.696	0.706	42.054	0.69	0.969
21	NaN	1.001	0.712	0.695	0.739	0.748	42.088	0.733	0.971
22	NaN	0.945	0.732	0.715	0.764	0.773	42.088	0.763	0.97
23	NaN	0.898	0.745	0.727	0.732	0.74	42.061	0.722	0.976
24	NaN	0.877	0.749	0.731	0.764	0.774	42.066	0.763	0.969
25	NaN	0.831	0.766	0.748	0.752	0.76	42.123	0.743	0.97
26	NaN	0.793	0.784	0.766	0.793	0.802	42.101	0.79	0.967
27	NaN	0.77	0.789	0.773	0.811	0.82	42.095	0.806	0.964
28	NaN	0.785	0.791	0.77	0.827	0.838	42.123	0.816	0.969
29	NaN	0.734	0.812	0.792	0.851	0.865	42.177	0.845	0.962
