epoch	train.loss	train.mjpeg_acc	train.raw_acc	val.mjpeg_acc	val.psnr	val.ssim
1	1.38	0.523	0.526	0.545	42.686	0.966
2	1.365	0.549	0.553	0.543	42.425	0.966
3	1.36	0.55	0.553	0.541	42.34	0.968
4	1.358	0.541	0.542	0.54	42.356	0.964
5	1.351	0.54	0.538	0.51	42.297	0.968
6	1.344	0.532	0.533	0.524	42.205	0.969
7	1.338	0.527	0.531	0.525	42.157	0.967
8	1.336	0.525	0.527	0.524	42.123	0.965
9	1.334	0.526	0.528	0.527	42.108	0.966
10	1.331	0.527	0.53	0.518	42.125	0.966
11	1.329	0.531	0.535	0.525	42.096	0.963
12	1.326	0.529	0.531	0.52	42.103	0.962
13	1.322	0.537	0.539	0.533	42.102	0.963
14	1.313	0.552	0.554	0.56	42.243	0.961
15	1.299	0.564	0.566	0.564	42.415	0.961
16	1.289	0.566	0.567	0.568	42.442	0.961
17	1.281	0.575	0.576	0.558	42.588	0.957
18	1.272	0.584	0.587	0.576	42.541	0.956
19	1.25	0.603	0.61	0.594	42.682	0.951
20	1.224	0.623	0.632	0.623	42.728	0.95
21	1.2	0.638	0.649	0.639	42.756	0.949
22	1.172	0.656	0.673	0.637	42.661	0.946
23	1.142	0.668	0.694	0.639	42.786	0.946
24	1.115	0.679	0.709	0.66	42.742	0.945
25	1.093	0.692	0.72	0.677	42.74	0.943
26	1.062	0.703	0.738	0.69	42.851	0.946
27	1.025	0.716	0.759	0.713	42.887	0.945
28	0.987	0.73	0.778	0.714	42.981	0.947
29	0.96	0.736	0.79	0.717	43.0	0.948
30	0.925	0.746	0.806	0.717	42.997	0.946
31	0.894	0.755	0.818	0.72	43.083	0.946
32	0.872	0.759	0.83	0.727	43.058	0.946
33	0.841	0.767	0.847	0.701	43.135	0.946
34	0.807	0.776	0.866	0.709	43.134	0.945
35	0.784	0.777	0.879	0.732	43.156	0.946
36	0.755	0.785	0.894	0.681	43.209	0.946
37	0.73	0.788	0.904	0.713	43.189	0.944
38	0.706	0.793	0.916	0.709	43.18	0.944
39	0.689	0.793	0.924	0.728	43.28	0.946
40	0.665	0.797	0.934	0.718	43.182	0.944
41	0.645	0.799	0.943	0.739	43.186	0.944
42	0.63	0.8	0.948	0.736	43.254	0.944
43	0.612	0.802	0.952	0.742	43.19	0.943
44	0.599	0.801	0.96	0.741	43.198	0.942
45	0.583	0.804	0.964	0.734	43.175	0.941
46	0.576	0.802	0.967	0.719	43.189	0.94
47	0.562	0.805	0.972	0.746	43.274	0.943
48	0.547	0.807	0.977	0.731	43.136	0.938
49	0.539	0.806	0.981	0.739	43.138	0.937
50	0.53	0.808	0.983	0.74	43.24	0.941
51	0.521	0.807	0.986	0.75	43.215	0.94
52	0.516	0.803	0.989	0.752	43.257	0.94
53	0.5	0.81	0.99	0.747	43.281	0.941
54	0.491	0.812	0.992	0.752	43.159	0.937
55	0.486	0.809	0.994	0.773	43.207	0.939
56	0.475	0.815	0.994	0.759	43.184	0.939
57	0.469	0.815	0.995	0.752	43.164	0.937
58	0.46	0.818	0.996	0.777	43.209	0.939
59	0.459	0.815	0.996	0.741	43.226	0.939
60	0.447	0.82	0.996	0.753	43.151	0.936
61	0.446	0.816	0.997	0.76	43.272	0.94
62	0.445	0.819	0.996	0.75	43.188	0.936
63	0.436	0.82	0.997	0.758	43.288	0.94
64	0.433	0.823	0.996	0.753	43.178	0.936
65	0.43	0.822	0.997	0.767	43.218	0.939
66	0.426	0.823	0.997	0.775	43.171	0.937
67	0.424	0.824	0.997	0.787	43.248	0.938
68	0.419	0.822	0.998	0.765	43.224	0.939
69	0.419	0.823	0.998	0.75	43.217	0.938
70	0.415	0.824	0.998	0.769	43.133	0.934
71	0.416	0.822	0.998	0.755	43.207	0.937
72	0.41	0.826	0.998	0.758	43.217	0.939
73	0.411	0.824	0.998	0.773	43.157	0.934
74	0.407	0.825	0.998	0.776	43.245	0.94
75	0.409	0.823	0.998	0.754	43.17	0.935
76	0.408	0.825	0.998	0.752	43.219	0.939
77	0.404	0.826	0.997	0.796	43.186	0.936
78	0.39	0.833	0.999	0.772	43.205	0.937
79	0.399	0.827	0.998	0.783	43.215	0.94
80	0.388	0.833	0.999	0.776	43.181	0.936
81	0.395	0.828	0.998	0.774	43.203	0.936
82	0.392	0.83	0.998	0.772	43.101	0.932
83	0.391	0.83	0.998	0.754	43.204	0.938
84	0.384	0.835	0.998	0.76	43.19	0.938
85	0.381	0.835	0.999	0.774	43.162	0.938
86	0.386	0.83	0.999	0.761	43.162	0.935
87	0.384	0.833	0.999	0.78	43.185	0.937
88	0.38	0.835	0.999	0.779	43.229	0.939
89	0.378	0.834	0.998	0.77	43.136	0.934
90	0.376	0.837	0.998	0.765	43.189	0.938
91	0.38	0.833	0.998	0.786	43.144	0.935
92	0.378	0.835	0.999	0.776	43.151	0.935
93	0.379	0.834	0.998	0.789	43.2	0.938
94	0.376	0.834	0.998	0.76	43.151	0.937
95	0.372	0.837	0.999	0.774	43.156	0.936
96	0.375	0.835	0.998	0.779	43.142	0.936
97	0.369	0.839	0.999	0.753	43.127	0.936
98	0.375	0.835	0.999	0.784	43.149	0.936
99	0.369	0.837	0.998	0.769	43.112	0.935
100	0.372	0.835	0.999	0.798	43.134	0.935
101	0.372	0.835	0.999	0.779	43.092	0.933
102	0.374	0.833	0.998	0.75	43.122	0.936
